In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL12;SrcProceedings.allInstances()->select(p|p.oclIsTypeOf(SrcProceedings))->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] Proceedings ' + b.title + ' ' + b.year and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
UntitledEntry;0.4486018117369043;0.6507936507936508;0.72;0.7615670381627828;0.8723404255319149;0.4724180837826628;0.05807365439093484;0.0012707613758089669;0.7534677234406274;0.4726783638255191;40.8421052631579;0.41;0.7324442505211031;0.42169657422512236;0.5274357064772245;0.5625;60.035714285714285;0.8005277044854882
Main;0.0;0.63;0.63;0.815;0.63;0.0;0.05405405405405406;0.63;0.7937253933193772;0.0;62.026315789473685;0.63;0.63;0.0;0.0;0.45985401459854014;107.27027027027027;0.5
TitledEntry_NoTitle_NoArticle;0.6996996996996997;0.8888888888888888;0.86;0.8888888888888888;0.8888888888888888;0.6996996996996997;0.12698412698412698;0.006349206349206349;0.8888888888888888;0.6996996996996997;55.81578947368421;0.56;0.8738600133210365;0.4315068493150685;0.7206898030972503;0.7543859649122807;224.0;0.8245125348189415
EXAM-BC;0.4444444444444444;0.4444444444444444;0.3333333333333333;0.3333333333333333;0.8888888888888888;0.4444444444444444;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.4444444444444444;0.3333333333333333;0.1111111111111111;0.3333333333333333;0.3333333333333333;0.4444444444444444;0.3333333333333333;0.2222222222222222;0.8888888888888888
EXAM-WC;0.4444444444444444;0.4444444444444444;0.4444444444444444;0.3333333333333333;0.8888888888888888;0.4444444444444444;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.4444444444444444;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.4444444444444444;0.4444444444444444;0.2222222222222222;0.8888888888888888
EXAM-AVG;0.4444444444444444;0.4444444444444444;0.38888888888888884;0.3333333333333333;0.8888888888888888;0.4444444444444444;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.4444444444444444;0.3333333333333333;0.2222222222222222;0.3333333333333333;0.3333333333333333;0.4444444444444444;0.38888888888888884;0.2222222222222222;0.8888888888888888

OCL19;SrcTitledEntry.allInstances()->forAll(te | TrgSect1.allInstances() -> exists(s | s.paras -> exists(p | p.content = te.title)))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;-0.39842983316977426;0.0;0.43;0.0;0.0;-0.3985276073619632;0.0;0.0;0.0;-0.3985497968034627;-0.3972602739726027;0.0;0.0;0.22216142270861833;0.0;0.27388535031847133;0.0;0.0
TitledEntry_Title_NoArticle;-0.6527487821851079;0.0;0.05;0.0;0.0;-0.8876271587414242;0.0;0.0;0.0;-0.8885731762563449;-0.9178082191780822;0.0;0.0;3.0504065040650405;0.0;0.02564102564102564;0.0;0.0
Article_NoTitle_Journal;-0.22950819672131148;0.0;0.58;0.0;0.0;-0.24347826086956523;0.0;0.0;0.0;-0.2516098041413563;-0.1917808219178082;0.0;0.0;0.09655172413793103;0.0;0.4084507042253521;0.0;0.0
Article_Title_Journal;-0.6331658291457286;0.0;0.09;0.0;0.0;-0.8115942028985508;0.0;0.0;0.0;-0.8137334712067349;-0.863013698630137;0.0;0.0;1.6470588235294117;0.0;0.04712041884816754;0.0;0.0
Author;-0.675603217158177;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.9863013698630136;0.0;0.0;1.0;0.0;0.0;0.0;0.0
Article_NoTitle_NoJournal;-0.20192307692307693;0.0;0.6;0.0;0.0;-0.21875;0.0;0.0;0.0;-0.23028309323591917;-0.1643835616438356;0.0;0.0;0.08235294117647059;0.0;0.42857142857142855;0.0;0.0
UntitledEntry;-0.5406737880032868;0.0;0.25;0.0;0.0;-0.5839804748169514;0.0;0.0;0.0;-0.587250995449292;-0.6438356164383562;0.0;0.0;0.5110679611650485;0.0;0.14285714285714285;0.0;0.0
Main;0.0;0.28;0.28;0.64;0.28;0.0;0.027777777777777776;0.28;0.5291502622129182;0.0;27.013698630136986;0.28;0.28;0.0;0.0;0.16279069767441862;10.88888888888889;0.5
TitledEntry_NoTitle_NoArticle;-0.6331658291457286;0.0;0.09;0.0;0.0;-0.8115942028985508;0.0;0.0;0.0;-0.8137334712067349;-0.863013698630137;0.0;0.0;1.6470588235294117;0.0;0.04712041884816754;0.0;0.0
EXAM-BC;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111
EXAM-WC;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;0.4444444444444444;0.1111111111111111;0.1111111111111111
EXAM-AVG;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.4444444444444444;0.1111111111111111;0.1111111111111111

OCL23;SrcBibTeXEntry.allInstances()->size() = TrgSect1.allInstances()->select(s | s.title = 'References List') -> asSequence() -> first().paras -> size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;-0.39842983316977426;0.0;0.43;0.0;0.0;-0.3985276073619632;0.0;0.0;0.0;-0.3985497968034627;-0.3972602739726027;0.0;0.0;0.22216142270861833;0.0;0.27388535031847133;0.0;0.0
TitledEntry_Title_NoArticle;-0.6527487821851079;0.0;0.05;0.0;0.0;-0.8876271587414242;0.0;0.0;0.0;-0.8885731762563449;-0.9178082191780822;0.0;0.0;3.0504065040650405;0.0;0.02564102564102564;0.0;0.0
Article_NoTitle_Journal;-0.22950819672131148;0.0;0.58;0.0;0.0;-0.24347826086956523;0.0;0.0;0.0;-0.2516098041413563;-0.1917808219178082;0.0;0.0;0.09655172413793103;0.0;0.4084507042253521;0.0;0.0
Article_Title_Journal;-0.6331658291457286;0.0;0.09;0.0;0.0;-0.8115942028985508;0.0;0.0;0.0;-0.8137334712067349;-0.863013698630137;0.0;0.0;1.6470588235294117;0.0;0.04712041884816754;0.0;0.0
Author;-0.675603217158177;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.9863013698630136;0.0;0.0;1.0;0.0;0.0;0.0;0.0
Article_NoTitle_NoJournal;-0.20192307692307693;0.0;0.6;0.0;0.0;-0.21875;0.0;0.0;0.0;-0.23028309323591917;-0.1643835616438356;0.0;0.0;0.08235294117647059;0.0;0.42857142857142855;0.0;0.0
UntitledEntry;-0.5406737880032868;0.0;0.25;0.0;0.0;-0.5839804748169514;0.0;0.0;0.0;-0.587250995449292;-0.6438356164383562;0.0;0.0;0.5110679611650485;0.0;0.14285714285714285;0.0;0.0
Main;0.0;0.28;0.28;0.64;0.28;0.0;0.027777777777777776;0.28;0.5291502622129182;0.0;27.013698630136986;0.28;0.28;0.0;0.0;0.16279069767441862;10.88888888888889;0.5
TitledEntry_NoTitle_NoArticle;-0.6331658291457286;0.0;0.09;0.0;0.0;-0.8115942028985508;0.0;0.0;0.0;-0.8137334712067349;-0.863013698630137;0.0;0.0;1.6470588235294117;0.0;0.04712041884816754;0.0;0.0
EXAM-BC;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111
EXAM-WC;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;0.4444444444444444;0.1111111111111111;0.1111111111111111
EXAM-AVG;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.4444444444444444;0.1111111111111111;0.1111111111111111

OCL24;SrcTitledEntry.allInstances()->iterate(e; te : Sequence(SrcTitledEntry) = Sequence {} |	if te->collect(ee | ee.title)->includes(e.title) then	te else	te->including(e) endif) -> size() = TrgSect1.allInstances()->select(s | s.title = 'Titles List') -> asSequence() -> first().paras -> size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;-0.39842983316977426;0.0;0.43;0.0;0.0;-0.3985276073619632;0.0;0.0;0.0;-0.3985497968034627;-0.3972602739726027;0.0;0.0;0.22216142270861833;0.0;0.27388535031847133;0.0;0.0
TitledEntry_Title_NoArticle;-0.6527487821851079;0.0;0.05;0.0;0.0;-0.8876271587414242;0.0;0.0;0.0;-0.8885731762563449;-0.9178082191780822;0.0;0.0;3.0504065040650405;0.0;0.02564102564102564;0.0;0.0
Article_NoTitle_Journal;-0.22950819672131148;0.0;0.58;0.0;0.0;-0.24347826086956523;0.0;0.0;0.0;-0.2516098041413563;-0.1917808219178082;0.0;0.0;0.09655172413793103;0.0;0.4084507042253521;0.0;0.0
Article_Title_Journal;-0.6331658291457286;0.0;0.09;0.0;0.0;-0.8115942028985508;0.0;0.0;0.0;-0.8137334712067349;-0.863013698630137;0.0;0.0;1.6470588235294117;0.0;0.04712041884816754;0.0;0.0
Author;-0.675603217158177;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;-0.9863013698630136;0.0;0.0;1.0;0.0;0.0;0.0;0.0
Article_NoTitle_NoJournal;-0.20192307692307693;0.0;0.6;0.0;0.0;-0.21875;0.0;0.0;0.0;-0.23028309323591917;-0.1643835616438356;0.0;0.0;0.08235294117647059;0.0;0.42857142857142855;0.0;0.0
UntitledEntry;-0.5406737880032868;0.0;0.25;0.0;0.0;-0.5839804748169514;0.0;0.0;0.0;-0.587250995449292;-0.6438356164383562;0.0;0.0;0.5110679611650485;0.0;0.14285714285714285;0.0;0.0
Main;0.0;0.28;0.28;0.64;0.28;0.0;0.027777777777777776;0.28;0.5291502622129182;0.0;27.013698630136986;0.28;0.28;0.0;0.0;0.16279069767441862;10.88888888888889;0.5
TitledEntry_NoTitle_NoArticle;-0.6331658291457286;0.0;0.09;0.0;0.0;-0.8115942028985508;0.0;0.0;0.0;-0.8137334712067349;-0.863013698630137;0.0;0.0;1.6470588235294117;0.0;0.04712041884816754;0.0;0.0
EXAM-BC;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111
EXAM-WC;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;1.0;0.4444444444444444;0.1111111111111111;0.1111111111111111
EXAM-AVG;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.4444444444444444;0.1111111111111111;0.1111111111111111

OCL26;SrcArticle.allInstances()->iterate(e; a : Sequence(SrcArticle) = Sequence {} | if a->collect(ee | ee.journal)->includes(e.journal) then	a else a->including(e) endif ) -> size() = TrgSect1.allInstances()->select(s | s.title = 'Journals List') -> asSequence() -> first().paras -> size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.3869455463397043;0.4603174603174603;0.66;0.7301587301587301;1.0;0.4888382687927107;0.058823529411764705;0.4603174603174603;0.67846699279881;0.48977928388816167;29.0;0.29;0.6449333826252851;0.2815533980582524;0.4897569285482042;0.4925373134328358;24.735294117647058;1.0
TitledEntry_Title_NoArticle;0.6928477402369461;0.8656716417910447;0.86;0.8931532812129827;0.8656716417910448;0.695288419198591;0.1286031042128603;0.007406820263510181;0.8927303866432462;0.6955312091259029;57.76315789473684;0.58;0.8753326873677182;0.4075425790754258;0.7153216787620342;0.7543859649122807;240.28571428571428;0.7910062661260596
