In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL3;SrcAuthor.allInstances()->forAll(au|TrgArticle.allInstances()->exists(a|a.sections_1->at(2).paras->exists(p|p.content=au.author )))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.0;0.0;0.01;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005025125628140704;0.0;0.0
TitledEntry_Title_NoArticle;-0.019991840065279477;0.5050505050505051;0.5;0.7427213309566251;0.9803921568627451;-0.037721324095458045;0.03849114703618168;0.005050505050505051;0.7036672182012484;-0.09851341054817478;49.5;0.5;0.5;1.02;0.0;0.3333333333333333;50.0;0.33557046979865773
Article_NoTitle_Journal;0.0;0.0;0.01;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005025125628140704;0.0;0.0
Article_Title_Journal;0.02;0.5050505050505051;0.51;0.7525252525252526;1.0;0.038476337052712584;0.04081632653061224;0.5050505050505051;0.7106690545187015;0.10050378152592121;50.0;0.5;0.5380455668937963;0.9615384615384616;0.10048358356566195;0.3422818791946309;51.02040816326531;1.0
Author;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;99.0;0.99;1.0;0.0;0.9989909182643795;1.0;1.0;1.0
Article_NoTitle_NoJournal;0.0;0.0;0.01;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005025125628140704;0.0;0.0
UntitledEntry;2.0403999183840033E-4;0.010101010101010102;0.02;0.5050505050505051;1.0;0.010101010101010102;0.02040816326530612;0.010101010101010102;0.10050378152592121;0.010101010101010102;1.0;0.01;0.02;0.3333333333333333;0.010090817356205853;0.010101010101010102;0.01020408163265306;1.0
Main;0.0;0.99;0.99;0.995;0.99;0.0;2.0;0.99;0.99498743710662;0.0;98.5;0.99;0.99;0.0;0.0;0.9801980198019802;9801.0;0.5
TitledEntry_NoTitle_NoArticle;2.0403999183840033E-4;0.010101010101010102;0.02;0.5050505050505051;1.0;0.010101010101010102;0.02040816326530612;0.010101010101010102;0.10050378152592121;0.010101010101010102;1.0;0.01;0.02;0.3333333333333333;0.010090817356205853;0.010101010101010102;0.01020408163265306;1.0
EXAM-BC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111
EXAM-WC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.4444444444444444
EXAM-AVG;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.6111111111111112;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.16666666666666666;0.1111111111111111;0.38888888888888884;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.2777777777777778

OCL4;SrcAuthor.allInstances()->forAll(a | TrgPara.allInstances()->exists(p | p.content = a.author and p.section.title = 'Authors List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.0;0.0;0.01;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005025125628140704;0.0;0.0
TitledEntry_Title_NoArticle;-0.019991840065279477;0.5050505050505051;0.5;0.7427213309566251;0.9803921568627451;-0.037721324095458045;0.03849114703618168;0.005050505050505051;0.7036672182012484;-0.09851341054817478;49.5;0.5;0.5;1.02;0.0;0.3333333333333333;50.0;0.33557046979865773
Article_NoTitle_Journal;0.0;0.0;0.01;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005025125628140704;0.0;0.0
Article_Title_Journal;0.02;0.5050505050505051;0.51;0.7525252525252526;1.0;0.038476337052712584;0.04081632653061224;0.5050505050505051;0.7106690545187015;0.10050378152592121;50.0;0.5;0.5380455668937963;0.9615384615384616;0.10048358356566195;0.3422818791946309;51.02040816326531;1.0
Author;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;99.0;0.99;1.0;0.0;0.9989909182643795;1.0;1.0;1.0
Article_NoTitle_NoJournal;0.0;0.0;0.01;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005025125628140704;0.0;0.0
UntitledEntry;2.0403999183840033E-4;0.010101010101010102;0.02;0.5050505050505051;1.0;0.010101010101010102;0.02040816326530612;0.010101010101010102;0.10050378152592121;0.010101010101010102;1.0;0.01;0.02;0.3333333333333333;0.010090817356205853;0.010101010101010102;0.01020408163265306;1.0
Main;0.0;0.99;0.99;0.995;0.99;0.0;2.0;0.99;0.99498743710662;0.0;98.5;0.99;0.99;0.0;0.0;0.9801980198019802;9801.0;0.5
TitledEntry_NoTitle_NoArticle;2.0403999183840033E-4;0.010101010101010102;0.02;0.5050505050505051;1.0;0.010101010101010102;0.02040816326530612;0.010101010101010102;0.10050378152592121;0.010101010101010102;1.0;0.01;0.02;0.3333333333333333;0.010090817356205853;0.010101010101010102;0.01020408163265306;1.0
EXAM-BC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111
EXAM-WC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.4444444444444444
EXAM-AVG;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.6111111111111112;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.16666666666666666;0.1111111111111111;0.38888888888888884;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.2777777777777778

OCL6;SrcUnpublished.allInstances()->forAll(b|TrgPara.allInstances()->exists(p|p.content='[' + b.id + '] Unpublished ' + b.title + ' ' + b.authors->iterate(e;str:String=''|str+e.author+' ') + b.note  and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.0;0.0;0.87;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7699115044247787;0.0;0.0
TitledEntry_Title_NoArticle;0.2510839574300355;0.2549019607843137;0.62;0.6274509803921569;0.2549019607843137;0.3509641873278237;0.05263157894736842;0.2549019607843137;0.5048781642974013;0.3789003459563977;12.568181818181818;0.13;0.5015665169416604;0.0;0.378877809546176;0.4492753623188406;4.447368421052632;0.696
