;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL9;SrcInBook.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '[' + b.id + '] InBook ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.publisher + ' ' + b.chapter.toString() and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
Article_Title_NoJournal;;X;;;;;X;X;X;;X;X;;;;;X;;;;;;;;X;X;;X;X;;;;;;;;X;;;;X;;;;;;;;;;X;;X;;X;;X;;;;;X;;;;X;;X;;X;;;;;;;;X;X;;X;;X;X;;X;;;;;;;;;X;;;;;;0.0;24.0;28.0;48.0;28.0;72.0;76.0;24.0;-0.34854771784232363;0.0;0.48;0.0;0.0;-0.35;0.0;0.0;0.0;-0.35043832202523123;-0.36363636363636365;0.0;0.0;0.18421052631578946;0.0;0.3157894736842105;0.0;0.0;
TitledEntry_Title_NoArticle;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;24.0;0.0;71.0;5.0;95.0;5.0;76.0;24.0;0.0326975476839237;0.25263157894736843;0.29;0.6263157894736842;0.25263157894736843;0.10439321444106132;0.028169014084507043;0.25263157894736843;0.5026246899500346;0.12892051277806202;23.07792207792208;0.24;0.32990073348201415;0.0;0.12890666385039193;0.1695906432748538;8.112676056338028;0.5170068027210885;
Article_NoTitle_Journal;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;X;X;X;;X;X;X;;;X;;;;;;X;;;;;;;;X;;;X;;;;;;X;;;;;;;;;;;;;;;;;;0.0;24.0;13.0;63.0;13.0;87.0;76.0;24.0;-0.20286085825747724;0.0;0.63;0.0;0.0;-0.21116751269035533;0.0;0.0;0.0;-0.21722553452429297;-0.16883116883116883;0.0;0.0;0.08118657298985169;0.0;0.45985401459854014;0.0;0.0;
Article_Title_Journal;;X;X;X;;X;X;X;X;X;X;X;;;X;X;X;X;;X;;;;;X;X;;X;X;;X;;;X;;;X;X;X;X;X;;X;X;;X;X;;X;X;X;X;X;;X;X;X;;X;X;;X;;X;;X;X;X;;X;;X;X;X;X;X;X;X;X;;X;X;X;X;;X;;;;X;;;X;X;X;;;;;X;0.0;24.0;64.0;12.0;64.0;36.0;76.0;24.0;-0.5363128491620112;0.0;0.12;0.0;0.0;-0.7441860465116279;0.0;0.0;0.0;-0.7492686492653553;-0.8311688311688312;0.0;0.0;1.1428571428571428;0.0;0.06382978723404255;0.0;0.0;
Author;;X;X;X;;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;;;X;X;X;X;;X;X;X;X;;;X;X;X;X;X;X;X;X;;X;X;;X;X;X;X;X;X;X;X;;X;X;X;;X;X;;X;X;X;;X;X;X;X;X;;X;X;X;X;X;X;X;X;;X;X;X;X;;X;;;;X;;;X;X;X;;;X;;X;0.0;24.0;75.0;1.0;75.0;25.0;76.0;24.0;-0.5714285714285714;0.0;0.01;0.0;0.0;-0.9732360097323601;0.0;0.0;0.0;-0.9733285267845753;-0.974025974025974;0.0;0.0;14.634146341463415;0.0;0.005025125628140704;0.0;0.0;
Article_NoTitle_NoJournal;;X;;;;;X;;X;;;;;;;X;X;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;;X;;;X;;;;;;X;;;;;;X;;;;;;;;;;;;;X;;;;;X;;;;;;;;;X;;;;;;0.0;24.0;14.0;62.0;14.0;86.0;76.0;24.0;-0.21483375959079284;0.0;0.62;0.0;0.0;-0.22192866578599735;0.0;0.0;0.0;-0.22673241660444166;-0.18181818181818182;0.0;0.0;0.08740894901144641;0.0;0.4492753623188406;0.0;0.0;
UntitledEntry;;X;X;X;;;X;;X;X;X;X;;;;X;X;X;;X;;;X;;X;;;;;X;;;;;X;X;X;X;X;;;;;;;X;X;;X;;;X;;;X;X;;;;;;;;;;;;X;X;X;;X;X;X;X;X;X;X;X;;X;;X;;;;;;;;;;X;X;X;;;X;;X;0.0;24.0;44.0;32.0;44.0;56.0;76.0;24.0;-0.45051194539249145;0.0;0.32;0.0;0.0;-0.4925373134328358;0.0;0.0;0.0;-0.4981167541368988;-0.5714285714285714;0.0;0.0;0.358695652173913;0.0;0.19047619047619047;0.0;0.0;
Main;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;24.0;0.0;76.0;0.0;100.0;0.0;76.0;24.0;0.0;0.24;0.24;0.62;0.24;0.0;0.02631578947368421;0.24;0.48989794855663565;0.0;23.01298701298701;0.24;0.24;0.0;0.0;0.13636363636363635;7.578947368421052;0.5;
TitledEntry_NoTitle_NoArticle;;X;;X;;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;;;X;X;X;X;;X;X;;X;;;X;X;X;X;X;X;;X;;;X;;X;;X;X;X;X;X;X;;X;;X;;X;X;;X;;X;;X;X;X;X;X;;X;X;X;;X;X;X;;;X;X;X;X;;X;;;;;;;X;X;X;;;;;X;0.0;24.0;64.0;12.0;64.0;36.0;76.0;24.0;-0.5363128491620112;0.0;0.12;0.0;0.0;-0.7441860465116279;0.0;0.0;0.0;-0.7492686492653553;-0.8311688311688312;0.0;0.0;1.1428571428571428;0.0;0.06382978723404255;0.0;0.0;
;Fail;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Fail;Pass;Pass;Fail;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Pass;Fail;Pass;Pass;Pass;Pass;Fail;Pass;Fail;Fail;Fail;Pass;Fail;Fail;Pass;Pass;Pass;Fail;Fail;Pass;Fail;Pass;
