In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL8;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (prop.complexType.oclIsUndefined()) implies entity.features-> select(f|f.oclIsTypeOf(TrgAttribute)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13.0;0.13;1.0;0.0;0.9999115904871365;1.0;1.0;1.0
References;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13.0;0.13;1.0;0.0;0.9999115904871365;1.0;1.0;1.0
Attributes;0.12663755458515283;0.07692307692307693;0.88;0.5384615384615384;1.0;0.14146341463414633;0.16666666666666666;0.07692307692307693;0.2773500981126146;0.25999820691510084;1.0;0.01;0.4625432760617778;0.005714285714285714;0.2599205300510161;0.7857142857142857;0.08333333333333333;1.0
Class;0.5356935577481138;0.4482758620689655;0.84;0.7241379310344828;0.4482758620689655;0.5786833855799373;0.125;0.4482758620689655;0.6695340634119862;0.6048423961803618;12.818181818181818;0.13;0.7305531586484636;0.0;0.6048027634227622;0.7241379310344828;10.5625;0.8446601941747572
Package;0.0;0.13;0.13;0.565;0.13;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;12.011363636363637;0.13;0.13;0.0;0.0;0.06951871657754011;1.9425287356321839;0.5
NamedElement;0.0;0.13;0.13;0.565;0.13;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;12.011363636363637;0.13;0.13;0.0;0.0;0.06951871657754011;1.9425287356321839;0.5
Property;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13.0;0.13;1.0;0.0;0.9999115904871365;1.0;1.0;1.0
StrongReferences;0.12663755458515283;0.07692307692307693;0.88;0.5384615384615384;1.0;0.14146341463414633;0.16666666666666666;0.07692307692307693;0.2773500981126146;0.25999820691510084;1.0;0.01;0.4625432760617778;0.005714285714285714;0.2599205300510161;0.7857142857142857;0.08333333333333333;1.0
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.5;0.125
EXAM-WC;0.375;0.375;0.375;0.375;0.625;0.375;0.375;0.375;0.375;0.375;0.375;0.75;0.375;0.25;0.375;0.375;0.75;0.625
EXAM-AVG;0.25;0.25;0.25;0.25;0.375;0.25;0.25;0.25;0.25;0.25;0.25;0.4375;0.25;0.1875;0.25;0.25;0.625;0.375

OCL12;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | prop.complexType.oclIsUndefined() implies entity.features-> exists(f | TrgAttribute.allInstances()-> exists(a | a=f and a.type = if prop.primitiveType.oclIsUndefined() then 'NoType' else prop.primitiveType endif)))))))        
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.9542961608775137;0.9230769230769231;0.99;0.9615384615384616;0.9230769230769231;0.9547325102880658;2.0;0.9230769230769231;0.9607689228305227;0.9552944114708368;11.98876404494382;0.12;0.9779302984653634;0.0;0.9552070068812324;0.9801980198019802;144.0;0.9887640449438201
References;0.9542961608775137;0.9230769230769231;0.99;0.9615384615384616;0.9230769230769231;0.9547325102880658;2.0;0.9230769230769231;0.9607689228305227;0.9552944114708368;11.98876404494382;0.12;0.9779302984653634;0.0;0.9552070068812324;0.9801980198019802;144.0;0.9887640449438201
Attributes;-0.018808777429467086;0.0;0.87;0.0;0.0;-0.02077922077922078;0.0;0.0;0.0;-0.037113480951260276;-0.011235955056179775;0.0;0.0;0.005517241379310344;0.0;0.7699115044247787;0.0;0.0
Class;0.500587544065805;0.41379310344827586;0.83;0.7068965517241379;0.4137931034482759;0.5470304975922954;0.11764705882352941;0.41379310344827586;0.6432675209026768;0.5778025608917295;11.808988764044944;0.12;0.7078487584455979;0.0;0.5777633785959851;0.7094017094017094;8.470588235294118;0.8380952380952381
Package;0.0;0.12;0.12;0.56;0.12;0.0;0.022727272727272728;0.12;0.3464101615137754;0.0;11.01123595505618;0.12;0.12;0.0;0.0;0.06382978723404255;1.6363636363636365;0.5
NamedElement;0.0;0.12;0.12;0.56;0.12;0.0;0.022727272727272728;0.12;0.3464101615137754;0.0;11.01123595505618;0.12;0.12;0.0;0.0;0.06382978723404255;1.6363636363636365;0.5
Property;0.9542961608775137;0.9230769230769231;0.99;0.9615384615384616;0.9230769230769231;0.9547325102880658;2.0;0.9230769230769231;0.9607689228305227;0.9552944114708368;11.98876404494382;0.12;0.9779302984653634;0.0;0.9552070068812324;0.9801980198019802;144.0;0.9887640449438201
StrongReferences;-0.018808777429467086;0.0;0.87;0.0;0.0;-0.02077922077922078;0.0;0.0;0.0;-0.037113480951260276;-0.011235955056179775;0.0;0.0;0.005517241379310344;0.0;0.7699115044247787;0.0;0.0
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
EXAM-WC;0.375;0.375;0.375;0.375;0.375;0.375;0.375;0.375;0.375;0.375;0.375;0.75;0.375;0.25;0.375;0.375;0.375;0.375
EXAM-AVG;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.4375;0.25;0.1875;0.25;0.25;0.25;0.25

OCL13;TrgWeakReference.allInstances()->forAll(r | SrcClass.allInstances()->exists(c | r.type.name = c.name))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13.0;0.13;1.0;0.0;0.9999115904871365;1.0;1.0;1.0
References;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13.0;0.13;1.0;0.0;0.9999115904871365;1.0;1.0;1.0
Attributes;0.12663755458515283;0.07692307692307693;0.88;0.5384615384615384;1.0;0.14146341463414633;0.16666666666666666;0.07692307692307693;0.2773500981126146;0.25999820691510084;1.0;0.01;0.4625432760617778;0.005714285714285714;0.2599205300510161;0.7857142857142857;0.08333333333333333;1.0
Class;0.5356935577481138;0.4482758620689655;0.84;0.7241379310344828;0.4482758620689655;0.5786833855799373;0.125;0.4482758620689655;0.6695340634119862;0.6048423961803618;12.818181818181818;0.13;0.7305531586484636;0.0;0.6048027634227622;0.7241379310344828;10.5625;0.8446601941747572
Package;0.0;0.13;0.13;0.565;0.13;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;12.011363636363637;0.13;0.13;0.0;0.0;0.06951871657754011;1.9425287356321839;0.5
NamedElement;0.0;0.13;0.13;0.565;0.13;0.0;0.022988505747126436;0.13;0.36055512754639896;0.0;12.011363636363637;0.13;0.13;0.0;0.0;0.06951871657754011;1.9425287356321839;0.5
Property;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;13.0;0.13;1.0;0.0;0.9999115904871365;1.0;1.0;1.0
StrongReferences;0.12663755458515283;0.07692307692307693;0.88;0.5384615384615384;1.0;0.14146341463414633;0.16666666666666666;0.07692307692307693;0.2773500981126146;0.25999820691510084;1.0;0.01;0.4625432760617778;0.005714285714285714;0.2599205300510161;0.7857142857142857;0.08333333333333333;1.0
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.5;0.125
EXAM-WC;0.375;0.375;0.375;0.375;0.625;0.375;0.375;0.375;0.375;0.375;0.375;0.75;0.375;0.25;0.375;0.375;0.75;0.625
EXAM-AVG;0.25;0.25;0.25;0.25;0.375;0.25;0.25;0.25;0.25;0.25;0.25;0.4375;0.25;0.1875;0.25;0.25;0.625;0.375

OCL14;TrgStrongReference.allInstances()->forAll(r | SrcClass.allInstances()->exists(c | r.type.name = c.name))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.12663755458515283;0.07692307692307693;0.88;0.5384615384615384;0.07692307692307687;0.14146341463414633;0.16666666666666666;0.07692307692307693;0.2773500981126146;0.25999820691510084;0.88;0.01;0.4625432760617778;0.0;0.2599205300510161;0.7857142857142857;0.08333333333333333;0.891891891891892
References;0.12663755458515283;0.07692307692307693;0.88;0.5384615384615384;0.07692307692307687;0.14146341463414633;0.16666666666666666;0.07692307692307693;0.2773500981126146;0.25999820691510084;0.88;0.01;0.4625432760617778;0.0;0.2599205300510161;0.7857142857142857;0.08333333333333333;0.891891891891892
Attributes;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.01;1.0;0.0;0.9989909182643795;1.0;1.0;1.0
Class;0.04826648538409246;0.034482758620689655;0.72;0.5172413793103449;0.03448275862068961;0.06580166821130677;0.07142857142857142;0.034482758620689655;0.18569533817705186;0.1572579384731271;0.72;0.01;0.2518599917518676;0.0;0.15722311511684034;0.5625;0.03571428571428571;0.7795275590551181
Package;0.0;0.01;0.01;0.505;0.010000000000000009;0.0;0.020202020202020204;0.01;0.1;0.0;0.010000000000000009;0.01;0.01;0.0;0.0;0.005025125628140704;0.010101010101010102;0.5
NamedElement;0.0;0.01;0.01;0.505;0.010000000000000009;0.0;0.020202020202020204;0.01;0.1;0.0;0.010000000000000009;0.01;0.01;0.0;0.0;0.005025125628140704;0.010101010101010102;0.5
Property;0.12663755458515283;0.07692307692307693;0.88;0.5384615384615384;0.07692307692307687;0.14146341463414633;0.16666666666666666;0.07692307692307693;0.2773500981126146;0.25999820691510084;0.88;0.01;0.4625432760617778;0.0;0.2599205300510161;0.7857142857142857;0.08333333333333333;0.891891891891892
StrongReferences;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.01;1.0;0.0;0.9989909182643795;1.0;1.0;1.0
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
EXAM-WC;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;1.0;0.25;1.0;0.25;0.25;0.25;0.25
EXAM-AVG;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.5625;0.1875;0.5625;0.1875;0.1875;0.1875;0.1875


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL8;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.5;0.125
OCL9;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
OCL11;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.5;0.125
OCL12;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125
OCL13;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.5;0.125
OCL14;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL8;0.375;0.375;0.375;0.375;0.625;0.375;0.375;0.375;0.375;0.375;0.375;0.75;0.375;0.25;0.375;0.375;0.75;0.625
OCL9;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;1.0;0.25;1.0;0.25;0.25;0.25;0.25
OCL11;0.375;0.375;0.375;0.375;0.625;0.375;0.375;0.375;0.375;0.375;0.375;0.75;0.375;0.25;0.375;0.375;0.75;0.625
OCL12;0.375;0.375;0.375;0.375;0.375;0.375;0.375;0.375;0.375;0.375;0.375;0.75;0.375;0.25;0.375;0.375;0.375;0.375
OCL13;0.375;0.375;0.375;0.375;0.625;0.375;0.375;0.375;0.375;0.375;0.375;0.75;0.375;0.25;0.375;0.375;0.75;0.625
OCL14;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;1.0;0.25;1.0;0.25;0.25;0.25;0.25

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL8;0.25;0.25;0.25;0.25;0.375;0.25;0.25;0.25;0.25;0.25;0.25;0.4375;0.25;0.1875;0.25;0.25;0.625;0.375
OCL9;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.5625;0.1875;0.5625;0.1875;0.1875;0.1875;0.1875
OCL11;0.25;0.25;0.25;0.25;0.375;0.25;0.25;0.25;0.25;0.25;0.25;0.4375;0.25;0.1875;0.25;0.25;0.625;0.375
OCL12;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.4375;0.25;0.1875;0.25;0.25;0.25;0.25
OCL13;0.25;0.25;0.25;0.25;0.375;0.25;0.25;0.25;0.25;0.25;0.25;0.4375;0.25;0.1875;0.25;0.25;0.625;0.375
OCL14;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;0.5625;0.1875;0.5625;0.1875;0.1875;0.1875;0.1875
