In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL3;SrcAuthor.allInstances()->forAll(au|TrgArticle.allInstances()->exists(a|a.sections_1->at(2).paras->exists(p|p.content=au.author )))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.06280331144733085;0.22988505747126436;0.3163265306122449;0.6149425287356322;1.0;0.17481128327373857;0.029850746268656716;0.22988505747126436;0.47946330148538413;0.1800546794507196;20.0;0.20408163265306123;0.34205614332165174;0.47619047619047616;0.18003994443504526;0.18787878787878787;5.970149253731344;1.0
TitledEntry_Title_NoArticle;0.06280331144733085;0.22988505747126436;0.3163265306122449;0.6149425287356322;1.0;0.17481128327373857;0.029850746268656716;0.22988505747126436;0.47946330148538413;0.1800546794507196;20.0;0.20408163265306123;0.34205614332165174;0.47619047619047616;0.18003994443504526;0.18787878787878787;5.970149253731344;1.0
Article_NoTitle_Journal;0.10091743119266056;0.3333333333333333;0.40816326530612246;0.6666666666666666;1.0;0.21568627450980393;0.034482758620689655;0.3333333333333333;0.5773502691896258;0.23052135826937487;29.0;0.29591836734693877;0.446884568795934;0.5686274509803921;0.2305047011355839;0.2564102564102564;14.5;1.0
Article_Title_Journal;0.5036179450072359;0.925531914893617;0.9285714285714286;0.9627659574468085;0.925531914893617;0.5221305326331583;0.2857142857142857;0.925531914893617;0.962045692726503;0.5801353807184279;86.41666666666667;0.8877551020408163;0.9378632548000994;0.0;0.5800386850392967;0.8666666666666667;1081.2857142857142;0.6111111111111112
Author;0.8887627695800226;0.9775280898876404;0.9795918367346939;0.9887640449438202;0.9775280898876404;0.8907849829351536;1.0;0.9775280898876404;0.9887002022289874;0.8943129820751063;86.83333333333333;0.8877551020408163;0.9829033726980293;0.0;0.8942108486944295;0.96;3784.5;0.8461538461538461
Article_NoTitle_NoJournal;0.0;0.0;0.11224489795918367;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05945945945945946;0.0;0.0
UntitledEntry;0.06280331144733085;0.22988505747126436;0.3163265306122449;0.6149425287356322;1.0;0.17481128327373857;0.029850746268656716;0.22988505747126436;0.47946330148538413;0.1800546794507196;20.0;0.20408163265306123;0.34205614332165174;0.47619047619047616;0.18003994443504526;0.18787878787878787;5.970149253731344;1.0
Main;0.0;0.8877551020408163;0.8877551020408163;0.9438775510204082;0.8877551020408163;0.0;0.18181818181818182;0.8877551020408163;0.9422075684480656;0.0;86.08333333333333;0.8877551020408163;0.8877551020408163;0.0;0.0;0.7981651376146789;688.0909090909091;0.5
TitledEntry_NoTitle_NoArticle;0.06280331144733085;0.22988505747126436;0.3163265306122449;0.6149425287356322;1.0;0.17481128327373857;0.029850746268656716;0.22988505747126436;0.47946330148538413;0.1800546794507196;20.0;0.20408163265306123;0.34205614332165174;0.47619047619047616;0.18003994443504526;0.18787878787878787;5.970149253731344;1.0
EXAM-BC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.6666666666666666;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.6666666666666666
EXAM-WC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.6666666666666666
EXAM-AVG;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.8333333333333333;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.6666666666666666

OCL4;SrcAuthor.allInstances()->forAll(a | TrgPara.allInstances()->exists(p | p.content = a.author and p.section.title = 'Authors List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.06280331144733085;0.22988505747126436;0.3163265306122449;0.6149425287356322;1.0;0.17481128327373857;0.029850746268656716;0.22988505747126436;0.47946330148538413;0.1800546794507196;20.0;0.20408163265306123;0.34205614332165174;0.47619047619047616;0.18003994443504526;0.18787878787878787;5.970149253731344;1.0
TitledEntry_Title_NoArticle;0.06280331144733085;0.22988505747126436;0.3163265306122449;0.6149425287356322;1.0;0.17481128327373857;0.029850746268656716;0.22988505747126436;0.47946330148538413;0.1800546794507196;20.0;0.20408163265306123;0.34205614332165174;0.47619047619047616;0.18003994443504526;0.18787878787878787;5.970149253731344;1.0
Article_NoTitle_Journal;0.10091743119266056;0.3333333333333333;0.40816326530612246;0.6666666666666666;1.0;0.21568627450980393;0.034482758620689655;0.3333333333333333;0.5773502691896258;0.23052135826937487;29.0;0.29591836734693877;0.446884568795934;0.5686274509803921;0.2305047011355839;0.2564102564102564;14.5;1.0
Article_Title_Journal;0.5036179450072359;0.925531914893617;0.9285714285714286;0.9627659574468085;0.925531914893617;0.5221305326331583;0.2857142857142857;0.925531914893617;0.962045692726503;0.5801353807184279;86.41666666666667;0.8877551020408163;0.9378632548000994;0.0;0.5800386850392967;0.8666666666666667;1081.2857142857142;0.6111111111111112
Author;0.8887627695800226;0.9775280898876404;0.9795918367346939;0.9887640449438202;0.9775280898876404;0.8907849829351536;1.0;0.9775280898876404;0.9887002022289874;0.8943129820751063;86.83333333333333;0.8877551020408163;0.9829033726980293;0.0;0.8942108486944295;0.96;3784.5;0.8461538461538461
