In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL15;SrcArticle.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] Article ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.journal) and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List') and TrgPara.allInstances()->exists(p | p.content = b.journal and p.section.title = 'Journals List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Author;0.014547160957297044;0.5934065934065934;0.58;0.7543304153473644;0.9152542372881356;0.019147621988882025;0.04094010614101592;0.0015718117448188427;0.7369653309689014;0.02202428451657867;53.5;0.54;0.620585712797929;0.9433880726015558;0.15344862890176877;0.4084507042253521;69.42857142857143;0.5164718384697131
Article_NoTitle_NoJournal;0.05120481927710843;0.31868131868131866;0.37;0.6426739926739926;0.9666666666666667;0.11647824597464886;0.02972834443874936;0.0013506395061252546;0.5550302767044407;0.12962755308030863;28.9;0.29;0.4124863230489374;0.6647605432451751;0.17688999607585904;0.22699386503067484;13.34920634920635;0.7414772727272727
UntitledEntry;0.051233396584440226;0.23076923076923078;0.3;0.6153846153846154;1.0;0.15254237288135594;0.02857142857142857;0.23076923076923078;0.48038446141526137;0.1621424235993525;21.0;0.21;0.33172774294868096;0.5384615384615384;0.16212851465210368;0.17647058823529413;6.3;1.0
Main;0.0;0.91;0.91;0.9550000000000001;0.91;0.0;0.2222222222222222;0.91;0.9539392014169457;0.0;90.1;0.91;0.91;0.0;0.0;0.8348623853211009;920.1111111111111;0.5
TitledEntry_NoTitle_NoArticle;0.051233396584440226;0.23076923076923078;0.3;0.6153846153846154;1.0;0.15254237288135594;0.02857142857142857;0.23076923076923078;0.48038446141526137;0.1621424235993525;21.0;0.21;0.33172774294868096;0.5384615384615384;0.16212851465210368;0.17647058823529413;6.3;1.0
EXAM-BC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.1111111111111111;0.1111111111111111;1.0;0.1111111111111111
EXAM-WC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;1.0;0.4444444444444444
EXAM-AVG;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2777777777777778;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.8888888888888888;0.1111111111111111;0.1111111111111111;1.0;0.2777777777777778

OCL26;SrcArticle.allInstances()->iterate(e; a : Sequence(SrcArticle) = Sequence {} | if a->collect(ee | ee.journal)->includes(e.journal) then	a else a->including(e) endif ) -> size() = TrgSect1.allInstances()->select(s | s.title = 'Journals List') -> asSequence() -> first().paras -> size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.04153354632587859;0.2857142857142857;0.34;0.6243386243386243;0.962962962962963;0.1025089605734767;0.028169014084507043;0.0010361868324565598;0.5245305283129621;0.1125513670840928;25.9;0.26;0.37982867450611596;0.6409788166544923;0.16369819516032066;0.20481927710843373;10.242424242424242;0.72
TitledEntry_Title_NoArticle;0.06057206954570948;0.26373626373626374;0.33;0.6318681318681318;1.0;0.16345062429057888;0.029850746268656716;0.26373626373626374;0.5135525910130955;0.17672556682259666;24.0;0.24;0.3661121979663779;0.5714285714285714;0.17671110878053042;0.19760479041916168;8.597014925373134;1.0
Article_NoTitle_Journal;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;91.0;0.91;1.0;0.0;0.9998779147845196;1.0;1.0;1.0
Article_Title_Journal;0.34210526315789475;0.9285714285714286;0.93;0.9642857142857143;0.9285714285714286;0.3586206896551724;0.2857142857142857;0.9285714285714286;0.9636241116594315;0.45425676257949793;90.3;0.91;0.9372145152772898;0.0;0.45414341218599985;0.8691588785046729;1183.0;0.5625
Author;0.014547160957297044;0.5934065934065934;0.58;0.7543304153473644;0.9152542372881356;0.019147621988882025;0.04094010614101592;0.0015718117448188427;0.7369653309689014;0.02202428451657867;53.5;0.54;0.620585712797929;0.9433880726015558;0.15344862890176877;0.4084507042253521;69.42857142857143;0.5164718384697131
Article_NoTitle_NoJournal;0.05120481927710843;0.31868131868131866;0.37;0.6426739926739926;0.9666666666666667;0.11647824597464886;0.02972834443874936;0.0013506395061252546;0.5550302767044407;0.12962755308030863;28.9;0.29;0.4124863230489374;0.6647605432451751;0.17688999607585904;0.22699386503067484;13.34920634920635;0.7414772727272727
UntitledEntry;0.051233396584440226;0.23076923076923078;0.3;0.6153846153846154;1.0;0.15254237288135594;0.02857142857142857;0.23076923076923078;0.48038446141526137;0.1621424235993525;21.0;0.21;0.33172774294868096;0.5384615384615384;0.16212851465210368;0.17647058823529413;6.3;1.0
Main;0.0;0.91;0.91;0.9550000000000001;0.91;0.0;0.2222222222222222;0.91;0.9539392014169457;0.0;90.1;0.91;0.91;0.0;0.0;0.8348623853211009;920.1111111111111;0.5
TitledEntry_NoTitle_NoArticle;0.051233396584440226;0.23076923076923078;0.3;0.6153846153846154;1.0;0.15254237288135594;0.02857142857142857;0.23076923076923078;0.48038446141526137;0.1621424235993525;21.0;0.21;0.33172774294868096;0.5384615384615384;0.16212851465210368;0.17647058823529413;6.3;1.0
EXAM-BC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.1111111111111111;0.1111111111111111;1.0;0.1111111111111111
EXAM-WC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;1.0;0.4444444444444444
EXAM-AVG;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2777777777777778;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.8888888888888888;0.1111111111111111;0.1111111111111111;1.0;0.2777777777777778


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL15;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.3333333333333333;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111
OCL18;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.1111111111111111;0.1111111111111111;1.0;0.1111111111111111
OCL26;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.1111111111111111;0.1111111111111111;1.0;0.1111111111111111

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL15;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.3333333333333333;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.4444444444444444
OCL18;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;1.0;0.4444444444444444
OCL26;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.4444444444444444;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;1.0;0.4444444444444444

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL15;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2777777777777778;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3333333333333333;0.3333333333333333;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2777777777777778
OCL18;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2777777777777778;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.8888888888888888;0.1111111111111111;0.1111111111111111;1.0;0.2777777777777778
OCL26;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2777777777777778;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.8888888888888888;0.1111111111111111;0.1111111111111111;1.0;0.2777777777777778
