In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL6;SrcUnpublished.allInstances()->forAll(b|TrgPara.allInstances()->exists(p|p.content='[' + b.id + '] Unpublished ' + b.title + ' ' + b.authors->iterate(e;str:String=''|str+e.author+' ') + b.note  and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula

OCL12;SrcProceedings.allInstances()->select(p|p.oclIsTypeOf(SrcProceedings))->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] Proceedings ' + b.title + ' ' + b.year and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.66996699669967;0.5384615384615384;0.94;0.7692307692307692;0.5384615384615384;0.6835016835016835;0.3333333333333333;0.5384615384615384;0.7337993857053429;0.7097338123319514;6.9361702127659575;0.07;0.8407555632930983;0.0;0.7096511089843315;0.8867924528301887;8.166666666666666;0.9393939393939394
TitledEntry_Title_NoArticle;0.19545669663984855;0.17073170731707318;0.66;0.5853658536585366;0.1707317073170732;0.26905537459283385;0.058823529411764705;0.17073170731707318;0.4131969352706687;0.3291104127520111;6.638297872340425;0.07;0.4455533507244902;0.0;0.32908418877302875;0.4925373134328358;1.4411764705882353;0.732283464566929
Article_NoTitle_Journal;0.0;0.0;0.93;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8691588785046729;0.0;0.0
Article_Title_Journal;0.09182643794147326;0.11475409836065574;0.46;0.5573770491803278;0.11475409836065575;0.1801980198019802;0.037037037037037035;0.11475409836065574;0.3387537429470791;0.21936883645884445;6.425531914893617;0.07;0.30342993870659757;0.0;0.21935121051751588;0.2987012987012987;0.9074074074074074;0.6326530612244898
Author;0.18831168831168832;0.16666666666666666;0.65;0.5833333333333334;0.16666666666666663;0.26303854875283444;0.05714285714285714;0.16666666666666666;0.40824829046386296;0.3224013838831172;6.627659574468085;0.07;0.4368412804023166;0.0;0.3223757842774568;0.48148148148148145;1.4;0.7265624999999999
Article_NoTitle_NoJournal;0.0;0.0;0.93;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8691588785046729;0.0;0.0
UntitledEntry;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;7.0;0.07;1.0;0.0;0.999846413761327;1.0;1.0;1.0
Main;0.0;0.07;0.07;0.535;0.06999999999999995;0.0;0.021505376344086023;0.07;0.2645751311064591;0.0;6.01063829787234;0.07;0.07;0.0;0.0;0.03626943005181347;0.5268817204301075;0.5
TitledEntry_NoTitle_NoArticle;0.10337552742616034;0.1206896551724138;0.49;0.5603448275862069;0.12068965517241381;0.19047619047619047;0.0392156862745098;0.1206896551724138;0.34740416688982556;0.23346307108777453;6.457446808510638;0.07;0.32132502872104063;0.0;0.23344453344229626;0.32450331125827814;0.9607843137254902;0.6458333333333334
EXAM-BC;0.3333333333333333;0.3333333333333333;0.5555555555555556;0.3333333333333333;0.5555555555555556;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.3333333333333333;0.5555555555555556;0.2222222222222222;0.3333333333333333
EXAM-WC;0.3333333333333333;0.3333333333333333;0.5555555555555556;0.3333333333333333;0.5555555555555556;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.7777777777777778;0.3333333333333333;1.0;0.3333333333333333;0.5555555555555556;0.2222222222222222;0.3333333333333333
EXAM-AVG;0.3333333333333333;0.3333333333333333;0.5555555555555556;0.3333333333333333;0.5555555555555556;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.4444444444444444;0.3333333333333333;0.5555555555555556;0.3333333333333333;0.5555555555555556;0.2222222222222222;0.3333333333333333

OCL14;SrcInCollection.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] InCollection ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.booktitle + ' ' + b.publisher) and	TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.66996699669967;0.5384615384615384;0.94;0.7692307692307692;0.5384615384615384;0.6835016835016835;0.3333333333333333;0.5384615384615384;0.7337993857053429;0.7097338123319514;6.9361702127659575;0.07;0.8407555632930983;0.0;0.7096511089843315;0.8867924528301887;8.166666666666666;0.9393939393939394
TitledEntry_Title_NoArticle;0.19545669663984855;0.17073170731707318;0.66;0.5853658536585366;0.1707317073170732;0.26905537459283385;0.058823529411764705;0.17073170731707318;0.4131969352706687;0.3291104127520111;6.638297872340425;0.07;0.4455533507244902;0.0;0.32908418877302875;0.4925373134328358;1.4411764705882353;0.732283464566929
Article_NoTitle_Journal;0.0;0.0;0.93;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8691588785046729;0.0;0.0
Article_Title_Journal;0.09182643794147326;0.11475409836065574;0.46;0.5573770491803278;0.11475409836065575;0.1801980198019802;0.037037037037037035;0.11475409836065574;0.3387537429470791;0.21936883645884445;6.425531914893617;0.07;0.30342993870659757;0.0;0.21935121051751588;0.2987012987012987;0.9074074074074074;0.6326530612244898
Author;0.18831168831168832;0.16666666666666666;0.65;0.5833333333333334;0.16666666666666663;0.26303854875283444;0.05714285714285714;0.16666666666666666;0.40824829046386296;0.3224013838831172;6.627659574468085;0.07;0.4368412804023166;0.0;0.3223757842774568;0.48148148148148145;1.4;0.7265624999999999
Article_NoTitle_NoJournal;0.0;0.0;0.93;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8691588785046729;0.0;0.0
UntitledEntry;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;7.0;0.07;1.0;0.0;0.999846413761327;1.0;1.0;1.0
Main;0.0;0.07;0.07;0.535;0.06999999999999995;0.0;0.021505376344086023;0.07;0.2645751311064591;0.0;6.01063829787234;0.07;0.07;0.0;0.0;0.03626943005181347;0.5268817204301075;0.5
TitledEntry_NoTitle_NoArticle;0.10337552742616034;0.1206896551724138;0.49;0.5603448275862069;0.12068965517241381;0.19047619047619047;0.0392156862745098;0.1206896551724138;0.34740416688982556;0.23346307108777453;6.457446808510638;0.07;0.32132502872104063;0.0;0.23344453344229626;0.32450331125827814;0.9607843137254902;0.6458333333333334
EXAM-BC;0.3333333333333333;0.3333333333333333;0.5555555555555556;0.3333333333333333;0.5555555555555556;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.3333333333333333;0.5555555555555556;0.2222222222222222;0.3333333333333333
EXAM-WC;0.3333333333333333;0.3333333333333333;0.5555555555555556;0.3333333333333333;0.5555555555555556;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.7777777777777778;0.3333333333333333;1.0;0.3333333333333333;0.5555555555555556;0.2222222222222222;0.3333333333333333
EXAM-AVG;0.3333333333333333;0.3333333333333333;0.5555555555555556;0.3333333333333333;0.5555555555555556;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.4444444444444444;0.3333333333333333;0.5555555555555556;0.3333333333333333;0.5555555555555556;0.2222222222222222;0.3333333333333333

OCL15;SrcArticle.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '['+b.id+'] Article ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.journal) and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List') and TrgPara.allInstances()->exists(p | p.content = b.journal and p.section.title = 'Journals List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
