In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL1;SrcCPL.allInstances()->size() = TrgProgram.allInstances()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Location2URIConstant;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
Otherwise2SelectDefault;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
Incoming2Method;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
EXAM-BC;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.8421052631578947;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.05263157894736842
EXAM-WC;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.9473684210526315;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.15789473684210525
EXAM-AVG;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.894736842105263;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.10526315789473684

OCL3;SrcCPL.allInstances()->forAll(c|TrgService.allInstances()->exists(s|s.name='unnamed' and s.declarations->forAll(d|SrcSubAction.allInstances()->one(sA|d.name=sA.id))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
SubCall2Return;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Busy2SelectCase;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
SubAction2Function;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;90.0;0.9;1.0;0.0;0.9998889012331963;1.0;1.0;1.0
Redirect2Return;-0.06521739130434782;0.5333333333333333;0.51;0.703030303030303;0.8727272727272728;-0.08888888888888889;0.0326530612244898;7.824343488679153E-4;0.6822422923379534;-0.10050378152592121;47.36363636363637;0.48;0.5504587155963303;1.0091743119266054;0.0964771660515383;0.3422818791946309;47.02040816326531;0.4324324324324324
StringSwitch2SelectStat;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
NoAnswer2SelectCase;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
CPL2Program;0.7297297297297297;0.9574468085106383;0.96;0.9787234042553192;0.9574468085106383;0.7377049180327869;0.5;0.9574468085106383;0.9784921095801633;0.7579367289598671;89.63636363636364;0.9;0.9658813404422587;0.0;0.7578303609108198;0.9230769230769231;2025.0;0.7142857142857143
Outgoing2Method;0.06779661016949153;0.26666666666666666;0.34;0.6333333333333333;1.0;0.1762114537444934;0.030303030303030304;0.26666666666666666;0.5163977794943223;0.1873171623163388;24.0;0.24;0.37435974597948574;0.5454545454545454;0.18730254357427342;0.20481927710843373;8.727272727272727;1.0
Proxy2Select;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Failure2ErrorResponse;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
AddressSwitch2SelectStat;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Proxy2Return;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Default2SelectDefault;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
SwitchedAddress2SelectCase;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
NotPresent2ErrorResponse;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Location2URIConstant;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Otherwise2SelectDefault;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Incoming2Method;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
EXAM-BC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.8421052631578947;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.21052631578947367;0.05263157894736842
EXAM-WC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.8947368421052632;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842;1.0;0.05263157894736842;0.05263157894736842;0.21052631578947367;0.10526315789473684
EXAM-AVG;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.868421052631579;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.07894736842105263;0.05263157894736842;0.5789473684210527;0.05263157894736842;0.05263157894736842;0.21052631578947367;0.07894736842105263

OCL11;SrcSubAction.allInstances()->size() + SrcOutgoing.allInstances()->size() + SrcCPL.allInstances()->size() = TrgLocalFunctionDeclaration.allInstances()->size() + TrgMethod.allInstances()->select(m|m.direction=Direction::out)->size() + TrgProgram.allInstances()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
SubCall2Return;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
Busy2SelectCase;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
SubAction2Function;0.7297297297297297;0.9574468085106383;0.96;0.9787234042553192;1.0;0.7377049180327869;0.5;0.9574468085106383;0.9784921095801633;0.7579367289598671;90.0;0.9;0.9658813404422587;0.8823529411764706;0.7578303609108198;0.9230769230769231;2025.0;1.0
Redirect2Return;0.013157894736842105;0.5531914893617021;0.55;0.7493230174081238;0.9454545454545454;0.019743336623889437;0.040123456790123455;0.0021374750601560106;0.723199424864118;0.02539183580595128;51.57142857142857;0.52;0.5890035469421653;0.9447852760736196;0.1320263715511184;0.3793103448275862;60.08888888888889;0.5252525252525252
StringSwitch2SelectStat;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
NoAnswer2SelectCase;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
CPL2Program;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;94.0;0.94;1.0;0.0;0.9998227264669385;1.0;1.0;1.0
Outgoing2Method;0.03951701427003293;0.2553191489361702;0.3;0.6276595744680851;1.0;0.12060301507537688;0.02857142857142857;0.2553191489361702;0.5052911526399114;0.1419745572840903;24.0;0.24;0.33962264150943394;0.6666666666666666;0.14196056090368328;0.17647058823529413;8.228571428571428;1.0
Proxy2Select;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
Failure2ErrorResponse;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
AddressSwitch2SelectStat;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
Proxy2Return;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
Default2SelectDefault;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
SwitchedAddress2SelectCase;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
NotPresent2ErrorResponse;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
Location2URIConstant;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
Otherwise2SelectDefault;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
Incoming2Method;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
EXAM-BC;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.8421052631578947;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.05263157894736842
EXAM-WC;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.9473684210526315;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.15789473684210525
EXAM-AVG;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.894736842105263;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.10526315789473684

OCL19;SrcCPL.allInstances()->size() = TrgProgram.allInstances()->collect(p|p.service)->flatten()->collect(s|s.sessions)->flatten()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
SubCall2Return;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
Busy2SelectCase;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
SubAction2Function;0.7297297297297297;0.9574468085106383;0.96;0.9787234042553192;1.0;0.7377049180327869;0.5;0.9574468085106383;0.9784921095801633;0.7579367289598671;90.0;0.9;0.9658813404422587;0.8823529411764706;0.7578303609108198;0.9230769230769231;2025.0;1.0
Redirect2Return;0.013157894736842105;0.5531914893617021;0.55;0.7493230174081238;0.9454545454545454;0.019743336623889437;0.040123456790123455;0.0021374750601560106;0.723199424864118;0.02539183580595128;51.57142857142857;0.52;0.5890035469421653;0.9447852760736196;0.1320263715511184;0.3793103448275862;60.08888888888889;0.5252525252525252
StringSwitch2SelectStat;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
NoAnswer2SelectCase;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
CPL2Program;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;94.0;0.94;1.0;0.0;0.9998227264669385;1.0;1.0;1.0
Outgoing2Method;0.03951701427003293;0.2553191489361702;0.3;0.6276595744680851;1.0;0.12060301507537688;0.02857142857142857;0.2553191489361702;0.5052911526399114;0.1419745572840903;24.0;0.24;0.33962264150943394;0.6666666666666666;0.14196056090368328;0.17647058823529413;8.228571428571428;1.0
Proxy2Select;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
Failure2ErrorResponse;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
AddressSwitch2SelectStat;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
Proxy2Return;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
Default2SelectDefault;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
SwitchedAddress2SelectCase;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
NotPresent2ErrorResponse;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
Location2URIConstant;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
Otherwise2SelectDefault;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
Incoming2Method;0.0;0.0;0.06;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.030927835051546393;0.0;0.0
EXAM-BC;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.8421052631578947;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.05263157894736842
EXAM-WC;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.9473684210526315;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.15789473684210525
EXAM-AVG;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.894736842105263;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.10526315789473684

OCL20;SrcSubAction.allInstances()->forAll(sa | TrgLocalFunctionDeclaration.allInstances()->exists(lfd | lfd.name = sa.id))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
SubCall2Return;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Busy2SelectCase;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
SubAction2Function;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;90.0;0.9;1.0;0.0;0.9998889012331963;1.0;1.0;1.0
Redirect2Return;-0.06521739130434782;0.5333333333333333;0.51;0.703030303030303;0.8727272727272728;-0.08888888888888889;0.0326530612244898;7.824343488679153E-4;0.6822422923379534;-0.10050378152592121;47.36363636363637;0.48;0.5504587155963303;1.0091743119266054;0.0964771660515383;0.3422818791946309;47.02040816326531;0.4324324324324324
StringSwitch2SelectStat;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
NoAnswer2SelectCase;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
CPL2Program;0.7297297297297297;0.9574468085106383;0.96;0.9787234042553192;0.9574468085106383;0.7377049180327869;0.5;0.9574468085106383;0.9784921095801633;0.7579367289598671;89.63636363636364;0.9;0.9658813404422587;0.0;0.7578303609108198;0.9230769230769231;2025.0;0.7142857142857143
Outgoing2Method;0.06779661016949153;0.26666666666666666;0.34;0.6333333333333333;1.0;0.1762114537444934;0.030303030303030304;0.26666666666666666;0.5163977794943223;0.1873171623163388;24.0;0.24;0.37435974597948574;0.5454545454545454;0.18730254357427342;0.20481927710843373;8.727272727272727;1.0
Proxy2Select;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Failure2ErrorResponse;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
AddressSwitch2SelectStat;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Proxy2Return;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Default2SelectDefault;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
SwitchedAddress2SelectCase;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
NotPresent2ErrorResponse;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Location2URIConstant;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Otherwise2SelectDefault;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Incoming2Method;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
EXAM-BC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.8421052631578947;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.21052631578947367;0.05263157894736842
EXAM-WC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.8947368421052632;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842;1.0;0.05263157894736842;0.05263157894736842;0.21052631578947367;0.10526315789473684
EXAM-AVG;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.868421052631579;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.07894736842105263;0.05263157894736842;0.5789473684210527;0.05263157894736842;0.05263157894736842;0.21052631578947367;0.07894736842105263


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL1;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.8421052631578947;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.05263157894736842
OCL3;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.8421052631578947;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.21052631578947367;0.05263157894736842
OCL11;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.8421052631578947;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.05263157894736842
OCL19;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.8421052631578947;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.05263157894736842
