In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL11;SrcSubAction.allInstances()->size() + SrcOutgoing.allInstances()->size() + SrcCPL.allInstances()->size() = TrgLocalFunctionDeclaration.allInstances()->size() + TrgMethod.allInstances()->select(m|m.direction=Direction::out)->size() + TrgProgram.allInstances()->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
SubCall2Return;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Busy2SelectCase;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
SubAction2Function;0.08940397350993377;0.4;0.45;0.6864864864864866;0.972972972972973;0.1671309192200557;0.034482758620689655;0.002385527798025313;0.6238502938920436;0.18641092980036003;35.90909090909091;0.36;0.4954128440366973;0.683076923076923;0.223677672811186;0.2903225806451613;23.563636363636363;0.8
Redirect2Return;-0.043689320388349516;0.6;0.57;0.7426229508196721;0.8852459016393442;-0.05489478499542543;0.03821656050955414;0.0011547426420796772;0.7287986971610244;-0.06150692760785473;53.36363636363637;0.54;0.6081216230819063;1.0068775790921596;0.11070490400689786;0.3986013986013986;67.81395348837209;0.46153846153846156
StringSwitch2SelectStat;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
NoAnswer2SelectCase;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
CPL2Program;0.6428571428571429;0.9473684210526315;0.95;0.9736842105263157;0.9473684210526316;0.6545454545454545;0.4;0.9473684210526315;0.9733285267845753;0.6882472016116853;89.54545454545455;0.9;0.9569756288254206;0.0;0.6881419545506784;0.9047619047619048;1620.0;0.6666666666666666
Outgoing2Method;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;90.0;0.9;1.0;0.0;0.9998889012331963;1.0;1.0;1.0
Proxy2Select;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Failure2ErrorResponse;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
AddressSwitch2SelectStat;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Proxy2Return;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Default2SelectDefault;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
SwitchedAddress2SelectCase;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
NotPresent2ErrorResponse;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Location2URIConstant;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Otherwise2SelectDefault;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
Incoming2Method;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
EXAM-BC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.8421052631578947;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.21052631578947367;0.05263157894736842
EXAM-WC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.8421052631578947;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842;1.0;0.05263157894736842;0.05263157894736842;0.21052631578947367;0.05263157894736842
EXAM-AVG;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.8421052631578947;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.07894736842105263;0.05263157894736842;0.5789473684210527;0.05263157894736842;0.05263157894736842;0.21052631578947367;0.05263157894736842


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL11;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.8421052631578947;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.21052631578947367;0.05263157894736842
OCL23;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.8421052631578947;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.21052631578947367;0.05263157894736842

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL11;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.8421052631578947;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842;1.0;0.05263157894736842;0.05263157894736842;0.21052631578947367;0.05263157894736842
OCL23;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.8421052631578947;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842;1.0;0.05263157894736842;0.05263157894736842;0.21052631578947367;0.05263157894736842

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL11;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.8421052631578947;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.07894736842105263;0.05263157894736842;0.5789473684210527;0.05263157894736842;0.05263157894736842;0.21052631578947367;0.05263157894736842
OCL23;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.8421052631578947;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.07894736842105263;0.05263157894736842;0.5789473684210527;0.05263157894736842;0.05263157894736842;0.21052631578947367;0.05263157894736842
