In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL10;SrcRedirect.allInstances()->forAll(r|TrgHeadedMessageField.allInstances()->exists(hmf|hmf.headerId='#contact:'and TrgConstantExp.allInstances()->exists(ce|ce=hmf.exp and TrgRedirectionErrorResponse.allInstances()->exists(rer|rer.errorKind=if r.permanent='true' then RedirectionErrorKind::MOVED_PERMANENTLY else RedirectionErrorKind::MOVED_TEMPORARILY endif and TrgConstantExp.allInstances()->exists(cep|TrgConstantExp.allInstances()->exists(cep2|TrgReasonMessageField.allInstances()->exists(rmf|rmf.exp=cep2 and TrgWithExp.allInstances()->exists(we|we.exp=cep and we.msgFields->includes(rmf) and we.msgFields->includes(hmf)))))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.13733905579399142;0.5161290322580645;0.5522388059701493;0.7580645161290323;1.0;0.22377622377622378;0.06666666666666667;0.5161290322580645;0.7184212081070996;0.27153769332085226;32.0;0.47761194029850745;0.5981197934908268;0.7619047619047619;0.27149161819100254;0.38144329896907214;34.13333333333333;1.0
SubCall2Return;0.0;0.0;0.07462686567164178;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03875968992248062;0.0;0.0
Busy2SelectCase;0.0;0.0;0.07462686567164178;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03875968992248062;0.0;0.0
SubAction2Function;0.0;0.0;0.07462686567164178;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03875968992248062;0.0;0.0
Redirect2Return;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;62.0;0.9253731343283582;1.0;0.0;0.999677523379555;1.0;1.0;1.0
StringSwitch2SelectStat;0.0;0.0;0.07462686567164178;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03875968992248062;0.0;0.0
NoAnswer2SelectCase;0.0;0.0;0.07462686567164178;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03875968992248062;0.0;0.0
CPL2Program;0.0809004572634541;0.3709677419354839;0.417910447761194;0.685483870967742;1.0;0.17397881996974282;0.05128205128205128;0.3709677419354839;0.6090712125322325;0.2053178638597756;23.0;0.34328358208955223;0.46372443188409246;0.696969696969697;0.2052812135117332;0.2641509433962264;13.564102564102564;1.0
Outgoing2Method;0.0809004572634541;0.3709677419354839;0.417910447761194;0.685483870967742;1.0;0.17397881996974282;0.05128205128205128;0.3709677419354839;0.6090712125322325;0.2053178638597756;23.0;0.34328358208955223;0.46372443188409246;0.696969696969697;0.2052812135117332;0.2641509433962264;13.564102564102564;1.0
Proxy2Select;0.13733905579399142;0.5161290322580645;0.5522388059701493;0.7580645161290323;1.0;0.22377622377622378;0.06666666666666667;0.5161290322580645;0.7184212081070996;0.27153769332085226;32.0;0.47761194029850745;0.5981197934908268;0.7619047619047619;0.27149161819100254;0.38144329896907214;34.13333333333333;1.0
