In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL15;SrcRedirect.allInstances()->size() + SrcRedirection.allInstances()->size() = TrgRedirectionErrorResponse.allInstances() -> select(rer | rer.errorKind=RedirectionErrorKind::MOVED_PERMANENTLY or rer.errorKind=RedirectionErrorKind::MOVED_TEMPORARILY or rer.errorKind=RedirectionErrorKind::MULTIPLE_CHOICES)->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
SubCall2Return;-0.17498950902224086;0.02127659574468085;0.44;0.05609284332688588;0.021276595744680882;-0.2403458213256484;0.0020491803278688526;2.1738861061939015E-7;0.04397994971335425;-0.2670286408863529;0.48888888888888893;0.01;0.11890722313191267;0.16502808988764045;0.027533564347929296;0.28205128205128205;0.017857142857142856;0.1495798319327731
Busy2SelectCase;0.027946537059538274;0.09090909090909091;0.84;0.11688311688311688;0.1428571428571429;0.02822085889570552;0.014705882352941176;1.6666194457823696E-6;0.11396057645963795;0.028810181602831737;0.9333333333333333;0.01;0.3872181420694601;0.03228782287822878;0.10395415561847218;0.7241379310344828;0.0625;0.5741935483870968
SubAction2Function;-0.12966601178781925;0.0;0.77;0.0;0.0;-0.12972972972972974;0.0;0.0;0.0;-0.12982269672237465;-0.13333333333333333;0.0;0.0;0.05042016806722689;0.0;0.6260162601626016;0.0;0.0
Redirect2Return;-0.15148413510747186;0.027777777777777776;0.55;0.059343434343434344;0.02777777777777779;-0.18032287541882425;0.0026845637583892616;2.85710530661597E-7;0.050251890762960605;-0.19708752139768285;0.6111111111111112;0.01;0.15648938665166298;0.12080536912751678;0.035952762065535764;0.3793103448275862;0.022222222222222223;0.1877637130801688
StringSwitch2SelectStat;-0.1852776044915783;0.0;0.62;0.0;0.0;-0.20135593220338982;0.0;0.0;0.0;-0.21380693671504472;-0.3;0.0;0.0;0.09776168531928901;0.0;0.4492753623188406;0.0;0.0
NoAnswer2SelectCase;0.3619489559164733;0.36363636363636365;0.89;0.4318181818181818;0.5;0.3638483965014577;0.08;5.713061486824252E-5;0.42640143271122083;0.36755669768276295;3.9555555555555557;0.04;0.6710436690396215;0.03594351732991014;0.40049537415520264;0.8018018018018018;1.4545454545454546;0.89
CPL2Program;-0.20853080568720378;0.0;0.49;0.0;0.0;-0.2604320804971885;0.0;0.0;0.0;-0.2870487828668123;-0.4444444444444444;0.0;0.0;0.1448321263989467;0.0;0.32450331125827814;0.0;0.0
Outgoing2Method;-0.10208816705336426;0.0;0.81;0.0;0.0;-0.10262390670553936;0.0;0.0;0.0;-0.10366983780795878;-0.08888888888888889;0.0;0.0;0.03621399176954732;0.0;0.680672268907563;0.0;0.0
Proxy2Select;0.609375;0.5;0.89;0.75;0.5;0.636734693877551;0.18181818181818182;0.5;0.7071067811865476;0.6619684638946263;10.877777777777778;0.11;0.7855400873013642;0.0;0.6619173953117127;0.8018018018018018;11.0;0.8899999999999999
Failure2ErrorResponse;0.0;0.0;0.89;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8018018018018018;0.0;0.0
AddressSwitch2SelectStat;-0.16189000774593337;0.0;0.7;0.0;0.0;-0.16600476568705322;0.0;0.0;0.0;-0.1702690176010722;-0.2111111111111111;0.0;0.0;0.07282229965156795;0.0;0.5384615384615384;0.0;0.0
Proxy2Return;-0.06232294617563739;0.0;0.85;0.0;0.0;-0.06456346294937637;0.0;0.0;0.0;-0.07176219571670307;-0.044444444444444446;0.0;0.0;0.019909502262443438;0.0;0.7391304347826086;0.0;0.0
Default2SelectDefault;0.013921113689095127;0.09090909090909091;0.83;0.10795454545454546;0.125;0.013994169096209912;0.012738853503184714;1.4285346948221332E-6;0.10660035817780521;0.014136796064721652;0.9222222222222223;0.01;0.37165928656337227;0.03597122302158273;0.09659006082566653;0.7094017094017094;0.058823529411764705;0.536144578313253
SwitchedAddress2SelectCase;-0.10987791342952276;0.0;0.8;0.0;0.0;-0.11012235817575083;0.0;0.0;0.0;-0.11056098464130519;-0.1;0.0;0.0;0.039919354838709675;0.0;0.6666666666666666;0.0;0.0
NotPresent2ErrorResponse;-0.19760479041916168;0.0;0.56;0.0;0.0;-0.22758620689655173;0.0;0.0;0.0;-0.2467294029690252;-0.36666666666666664;0.0;0.0;0.11785714285714285;0.0;0.3888888888888889;0.0;0.0
Location2URIConstant;0.0;0.0;0.89;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8018018018018018;0.0;0.0
Otherwise2SelectDefault;-0.18286445012787725;0.0;0.63;0.0;0.0;-0.19703754736479503;0.0;0.0;0.0;-0.20838773457147122;-0.28888888888888886;0.0;0.0;0.09457671957671958;0.0;0.45985401459854014;0.0;0.0
Incoming2Method;-0.14537444933920704;0.0;0.74;0.0;0.0;-0.14640638864241348;0.0;0.0;0.0;-0.14768538038561263;-0.16666666666666666;0.0;0.0;0.060262965668371075;0.0;0.5873015873015873;0.0;0.0
EXAM-BC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
EXAM-WC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
EXAM-AVG;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842

OCL31;SrcRedirection.allInstances()->size()=TrgSelectCase.allInstances()->select(sc|sc.commentsBefore=Sequence {'// redirection'})->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;0.656188605108055;0.6666666666666666;0.93;0.696969696969697;0.6666666666666667;0.6565110565110565;0.2;5.328005328005328E-4;0.6963106238227914;0.6569815258374716;7.955555555555556;0.08;0.8295875442952216;0.041189931350114416;0.6687178204252678;0.8691588785046729;9.142857142857142;0.9417989417989417
SubCall2Return;-0.17498950902224086;0.02127659574468085;0.44;0.05609284332688588;0.021276595744680882;-0.2403458213256484;0.0020491803278688526;2.1738861061939015E-7;0.04397994971335425;-0.2670286408863529;0.48888888888888893;0.01;0.11890722313191267;0.16502808988764045;0.027533564347929296;0.28205128205128205;0.017857142857142856;0.1495798319327731
Busy2SelectCase;0.027946537059538274;0.09090909090909091;0.84;0.11688311688311688;0.1428571428571429;0.02822085889570552;0.014705882352941176;1.6666194457823696E-6;0.11396057645963795;0.028810181602831737;0.9333333333333333;0.01;0.3872181420694601;0.03228782287822878;0.10395415561847218;0.7241379310344828;0.0625;0.5741935483870968
SubAction2Function;-0.12966601178781925;0.0;0.77;0.0;0.0;-0.12972972972972974;0.0;0.0;0.0;-0.12982269672237465;-0.13333333333333333;0.0;0.0;0.05042016806722689;0.0;0.6260162601626016;0.0;0.0
Redirect2Return;-0.15148413510747186;0.027777777777777776;0.55;0.059343434343434344;0.02777777777777779;-0.18032287541882425;0.0026845637583892616;2.85710530661597E-7;0.050251890762960605;-0.19708752139768285;0.6111111111111112;0.01;0.15648938665166298;0.12080536912751678;0.035952762065535764;0.3793103448275862;0.022222222222222223;0.1877637130801688
StringSwitch2SelectStat;-0.1852776044915783;0.0;0.62;0.0;0.0;-0.20135593220338982;0.0;0.0;0.0;-0.21380693671504472;-0.3;0.0;0.0;0.09776168531928901;0.0;0.4492753623188406;0.0;0.0
NoAnswer2SelectCase;0.3619489559164733;0.36363636363636365;0.89;0.4318181818181818;0.5;0.3638483965014577;0.08;5.713061486824252E-5;0.42640143271122083;0.36755669768276295;3.9555555555555557;0.04;0.6710436690396215;0.03594351732991014;0.40049537415520264;0.8018018018018018;1.4545454545454546;0.89
CPL2Program;-0.20853080568720378;0.0;0.49;0.0;0.0;-0.2604320804971885;0.0;0.0;0.0;-0.2870487828668123;-0.4444444444444444;0.0;0.0;0.1448321263989467;0.0;0.32450331125827814;0.0;0.0
Outgoing2Method;-0.10208816705336426;0.0;0.81;0.0;0.0;-0.10262390670553936;0.0;0.0;0.0;-0.10366983780795878;-0.08888888888888889;0.0;0.0;0.03621399176954732;0.0;0.680672268907563;0.0;0.0
Proxy2Select;0.609375;0.5;0.89;0.75;0.5;0.636734693877551;0.18181818181818182;0.5;0.7071067811865476;0.6619684638946263;10.877777777777778;0.11;0.7855400873013642;0.0;0.6619173953117127;0.8018018018018018;11.0;0.8899999999999999
Failure2ErrorResponse;0.0;0.0;0.89;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8018018018018018;0.0;0.0
AddressSwitch2SelectStat;-0.16189000774593337;0.0;0.7;0.0;0.0;-0.16600476568705322;0.0;0.0;0.0;-0.1702690176010722;-0.2111111111111111;0.0;0.0;0.07282229965156795;0.0;0.5384615384615384;0.0;0.0
Proxy2Return;-0.06232294617563739;0.0;0.85;0.0;0.0;-0.06456346294937637;0.0;0.0;0.0;-0.07176219571670307;-0.044444444444444446;0.0;0.0;0.019909502262443438;0.0;0.7391304347826086;0.0;0.0
Default2SelectDefault;0.013921113689095127;0.09090909090909091;0.83;0.10795454545454546;0.125;0.013994169096209912;0.012738853503184714;1.4285346948221332E-6;0.10660035817780521;0.014136796064721652;0.9222222222222223;0.01;0.37165928656337227;0.03597122302158273;0.09659006082566653;0.7094017094017094;0.058823529411764705;0.536144578313253
SwitchedAddress2SelectCase;-0.10987791342952276;0.0;0.8;0.0;0.0;-0.11012235817575083;0.0;0.0;0.0;-0.11056098464130519;-0.1;0.0;0.0;0.039919354838709675;0.0;0.6666666666666666;0.0;0.0
NotPresent2ErrorResponse;-0.19760479041916168;0.0;0.56;0.0;0.0;-0.22758620689655173;0.0;0.0;0.0;-0.2467294029690252;-0.36666666666666664;0.0;0.0;0.11785714285714285;0.0;0.3888888888888889;0.0;0.0
Location2URIConstant;0.0;0.0;0.89;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8018018018018018;0.0;0.0
Otherwise2SelectDefault;-0.18286445012787725;0.0;0.63;0.0;0.0;-0.19703754736479503;0.0;0.0;0.0;-0.20838773457147122;-0.28888888888888886;0.0;0.0;0.09457671957671958;0.0;0.45985401459854014;0.0;0.0
Incoming2Method;-0.14537444933920704;0.0;0.74;0.0;0.0;-0.14640638864241348;0.0;0.0;0.0;-0.14768538038561263;-0.16666666666666666;0.0;0.0;0.060262965668371075;0.0;0.5873015873015873;0.0;0.0
EXAM-BC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
EXAM-WC;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
EXAM-AVG;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL15;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
OCL29;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
OCL31;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL15;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
OCL29;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
OCL31;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL15;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
OCL29;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
OCL31;0.05263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.15789473684210525;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842;0.5263157894736842;0.05263157894736842;0.05263157894736842;0.10526315789473684;0.05263157894736842
