In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL6;SrcBusy.allInstances()->forAll(b|TrgSelectCase.allInstances()->exists(sc|if(b.contents.oclIsTypeOf(SrcSubCall))then (TrgReturnStat.allInstances()->exists(rs|sc.statements->includes(rs) and TrgFunctionCallExp.allInstances()->exists(fce|fce=rs.returnedValue and TrgFunctionCall.allInstances()->exists(fc|fc=fce.functionCall))))else true endif))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;-0.06907894736842106;0.0;0.87;0.0;0.0;-0.0691358024691358;0.0;0.0;0.0;-0.06931372582330703;-0.07368421052631578;0.0;0.0;0.025408348457350273;0.0;0.7699115044247787;0.0;0.0
SubCall2Return;0.004975124378109453;0.0625;0.52;0.28125;0.0625;0.00784313725490196;0.014492753623188406;6.665911196731037E-6;0.1767766952966369;0.010113917425784186;2.526315789473684;0.03;0.23959619859133774;0.05741626794258373;0.1238850471063836;0.35135135135135137;0.1875;0.5108695652173912
Busy2SelectCase;-0.06907894736842106;0.0;0.87;0.0;0.0;-0.0691358024691358;0.0;0.0;0.0;-0.06931372582330703;-0.07368421052631578;0.0;0.0;0.025408348457350273;0.0;0.7699115044247787;0.0;0.0
SubAction2Function;-0.08695652173913043;0.0;0.82;0.0;0.0;-0.08888888888888889;0.0;0.0;0.0;-0.09329556203566844;-0.12631578947368421;0.0;0.0;0.036585365853658534;0.0;0.6949152542372882;0.0;0.0
Redirect2Return;-0.11607142857142858;0.0;0.55;0.0;0.0;-0.15902140672782875;0.0;0.0;0.0;-0.20201289125103125;-0.4105263157894737;0.0;0.0;0.08342245989304813;0.0;0.3793103448275862;0.0;0.0
StringSwitch2SelectStat;-0.11301369863013698;0.0;0.61;0.0;0.0;-0.14270270270270272;0.0;0.0;0.0;-0.1773091986368582;-0.3473684210526316;0.0;0.0;0.07213114754098361;0.0;0.43884892086330934;0.0;0.0
NoAnswer2SelectCase;-0.0736196319018405;0.0;0.86;0.0;0.0;-0.07384615384615385;0.0;0.0;0.0;-0.07450111597299125;-0.08421052631578947;0.0;0.0;0.027906976744186046;0.0;0.7543859649122807;0.0;0.0
CPL2Program;-0.11692015209125475;0.0;0.53;0.0;0.0;-0.16493462956754945;0.0;0.0;0.0;-0.21060933698119055;-0.43157894736842106;0.0;0.0;0.08757564969740121;0.0;0.36054421768707484;0.0;0.0
Outgoing2Method;-0.07758620689655173;0.0;0.85;0.0;0.0;-0.07809110629067245;0.0;0.0;0.0;-0.07945335801632392;-0.09473684210526316;0.0;0.0;0.030252100840336135;0.0;0.7391304347826086;0.0;0.0
Proxy2Select;0.36908517350157727;0.2727272727272727;0.84;0.6363636363636364;0.2727272727272727;0.4105263157894737;0.125;0.2727272727272727;0.5222329678670935;0.4757158913514795;5.831578947368421;0.06;0.6333076527839357;0.0;0.47566754036687425;0.7241379310344828;2.25;0.8545454545454545
