In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL29;SrcNoAnswer.allInstances()->size()=TrgSelectCase.allInstances()->select(sc|sc.commentsBefore=Sequence {'// noanswer'})->size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Redirection2SelectCase;-0.05198019801980198;0.0;0.83;0.0;0.0;-0.05618729096989967;0.0;0.0;0.0;-0.07095606982915963;-0.034482758620689655;0.0;0.0;0.016323357947920714;0.0;0.7094017094017094;0.0;0.0
SubCall2Return;-0.1853448275862069;0.044444444444444446;0.45;0.09365079365079365;0.0444444444444444;-0.2337591736885023;0.0035026269702276708;7.751766724533605E-7;0.07968190728895957;-0.24909649144269785;1.5057471264367817;0.02;0.17010718218535054;0.18588640275387264;0.04981641245282835;0.2903225806451613;0.07272727272727272;0.22222222222222224
Busy2SelectCase;0.558303886925795;0.5714285714285714;0.9;0.6190476190476191;0.6666666666666667;0.5592920353982301;0.125;2.665067626091012E-4;0.6172133998483676;0.5604951716211759;7.954022988505747;0.08;0.7707079232008616;0.052941176470588235;0.5817282072758766;0.8181818181818182;6.4;0.924731182795699
SubAction2Function;-0.1558219178082192;0.0;0.73;0.0;0.0;-0.15588865096359744;0.0;0.0;0.0;-0.15596488957113427;-0.14942528735632185;0.0;0.0;0.06080855329101236;0.0;0.5748031496062992;0.0;0.0
Redirect2Return;-0.25;0.0;0.51;0.0;0.0;-0.28169014084507044;0.0;0.0;0.0;-0.2960684541064695;-0.40229885057471265;0.0;0.0;0.15250544662309368;0.0;0.3422818791946309;0.0;0.0
StringSwitch2SelectStat;-0.22249388753056235;0.0;0.6;0.0;0.0;-0.23273657289002558;0.0;0.0;0.0;-0.2391583818630162;-0.2988505747126437;0.0;0.0;0.11234567901234568;0.0;0.42857142857142855;0.0;0.0
NoAnswer2SelectCase;0.4339622641509434;0.42857142857142855;0.88;0.5142857142857142;0.6;0.4372623574144487;0.08823529411764706;1.124620440601297E-4;0.50709255283711;0.4418993202399135;5.954022988505747;0.06;0.7013519276557976;0.04739336492890995;0.4725947426706173;0.7857142857142857;3.0;0.9020979020979021
CPL2Program;-0.16054158607350097;0.05263157894736842;0.52;0.09774436090225563;0.052631578947368474;-0.18651685393258427;0.004166666666666667;9.25904492951552E-7;0.086710996952412;-0.19712295331996132;1.5862068965517242;0.02;0.2;0.15079365079365079;0.05937085842199037;0.35135135135135137;0.08333333333333333;0.2544378698224852
Outgoing2Method;-0.1320754716981132;0.0;0.76;0.0;0.0;-0.13307984790874525;0.0;0.0;0.0;-0.1344910974643215;-0.11494252873563218;0.0;0.0;0.04847645429362881;0.0;0.6129032258064516;0.0;0.0
Proxy2Select;0.7319034852546917;0.6363636363636364;0.92;0.8181818181818181;0.6363636363636364;0.7479452054794521;0.25;0.6363636363636364;0.7977240352174656;0.7597150906935337;13.908045977011493;0.14;0.8546654831089919;0.0;0.7596622402477695;0.8518518518518519;24.5;0.9148936170212767
Failure2ErrorResponse;0.0;0.0;0.86;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7543859649122807;0.0;0.0
AddressSwitch2SelectStat;-0.0476878612716763;0.10526315789473684;0.71;0.12406015037593984;0.10526315789473684;-0.048122493620123954;0.008583690987124463;1.960724723072142E-6;0.12262786789699316;-0.04848544458031146;1.8045977011494252;0.02;0.3215952170226624;0.07991587802313355;0.10137120983735336;0.5503875968992248;0.13793103448275862;0.41951219512195126
Proxy2Return;-0.10294117647058823;0.0;0.79;0.0;0.0;-0.10566037735849057;0.0;0.0;0.0;-0.11069355566525295;-0.08045977011494253;0.0;0.0;0.035443037974683546;0.0;0.6528925619834711;0.0;0.0
Default2SelectDefault;0.12663755458515283;0.14285714285714285;0.84;0.23809523809523808;0.33333333333333337;0.13122171945701358;0.03125;8.332708380204819E-6;0.2182178902359924;0.14076840629064688;1.9540229885057472;0.02;0.48062484748656975;0.03103448275862069;0.1989932537529892;0.7241379310344828;0.25;0.7543859649122807
SwitchedAddress2SelectCase;0.08906882591093117;0.14285714285714285;0.82;0.19642857142857142;0.25;0.09072164948453608;0.022222222222222223;5.555246930726071E-6;0.1889822365046136;0.09348254376477573;1.9310344827586208;0.02;0.44868329805051377;0.039603960396039604;0.16995020755218845;0.6949152542372882;0.2222222222222222;0.671875
NotPresent2ErrorResponse;-0.24470338983050846;0.0;0.53;0.0;0.0;-0.2705710102489019;0.0;0.0;0.0;-0.2831616020657023;-0.3793103448275862;0.0;0.0;0.14290133003402414;0.0;0.36054421768707484;0.0;0.0
Location2URIConstant;0.0;0.0;0.86;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7543859649122807;0.0;0.0
Otherwise2SelectDefault;-0.22607655502392343;0.0;0.59;0.0;0.0;-0.23811023622047245;0.0;0.0;0.0;-0.24537778637024796;-0.3103448275862069;0.0;0.0;0.11648690292758089;0.0;0.41843971631205673;0.0;0.0
Incoming2Method;-0.1693548387096774;0.0;0.71;0.0;0.0;-0.16942315449778136;0.0;0.0;0.0;-0.1694926847325234;-0.1724137931034483;0.0;0.0;0.06878480183426139;0.0;0.5503875968992248;0.0;0.0
EXAM-BC;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.15789473684210525;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842
EXAM-WC;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.15789473684210525;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842
EXAM-AVG;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.15789473684210525;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL29;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.15789473684210525;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842
OCL30;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.15789473684210525;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL29;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.15789473684210525;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842
OCL30;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.15789473684210525;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL29;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.15789473684210525;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842
OCL30;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.15789473684210525;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.5263157894736842;0.10526315789473684;0.10526315789473684;0.10526315789473684;0.05263157894736842
