10 : token_ratio--0.0417  byte_ratio--0.0502
11 : token_ratio--0.0444  byte_ratio--0.0517
12 : token_ratio--0.0606  byte_ratio--0.0743
14 : token_ratio--0.1538  byte_ratio--0.1475
18 : token_ratio--0.0400  byte_ratio--0.0475
20 : token_ratio--0.0541  byte_ratio--0.0702
21 : token_ratio--0.0444  byte_ratio--0.0518
26 : token_ratio--0.0645  byte_ratio--0.0713
31 : token_ratio--0.0588  byte_ratio--0.0651
34 : token_ratio--0.0476  byte_ratio--0.0558
36 : token_ratio--0.0625  byte_ratio--0.0803
42 : token_ratio--0.0645  byte_ratio--0.0717
44 : token_ratio--0.0541  byte_ratio--0.0631
45 : token_ratio--0.0370  byte_ratio--0.0420
46 : token_ratio--0.0690  byte_ratio--0.0757
49 : token_ratio--0.0571  byte_ratio--0.0698
52 : token_ratio--0.0357  byte_ratio--0.0432
58 : token_ratio--0.0488  byte_ratio--0.0571
59 : token_ratio--0.0541  byte_ratio--0.0581
62 : token_ratio--0.0364  byte_ratio--0.0402
65 : token_ratio--0.0714  byte_ratio--0.0784
66 : token_ratio--0.0541  byte_ratio--0.0567
7 : token_ratio--0.0741  byte_ratio--0.0798
70 : token_ratio--0.0625  byte_ratio--0.0645
71 : token_ratio--0.0400  byte_ratio--0.0500
72 : token_ratio--0.0571  byte_ratio--0.0681
73 : token_ratio--0.0465  byte_ratio--0.0543
83 : token_ratio--0.0317  byte_ratio--0.0379
88 : token_ratio--0.0333  byte_ratio--0.0395
89 : token_ratio--0.0408  byte_ratio--0.0466
9 : token_ratio--0.0444  byte_ratio--0.0512
92 : token_ratio--0.0465  byte_ratio--0.0543
94 : token_ratio--0.0435  byte_ratio--0.0490
