In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL3;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | entity.features->exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
References;0.09863945578231292;0.4222222222222222;0.47;0.6982905982905983;0.9743589743589743;0.17688319609637085;0.03588290840415486;0.002758578529700568;0.6414015991529889;0.198188988958643;37.90909090909091;0.38;0.5159518612510476;0.6942827798699076;0.23371035290345105;0.30718954248366015;27.245283018867923;0.8085106382978723
Attributes;0.0196078431372549;0.36666666666666664;0.4;0.6416666666666666;0.9166666666666666;0.03745318352059925;0.028423772609819122;6.357011889188351E-4;0.5797509043642028;0.041666666666666664;32.72727272727273;0.33;0.4454646055136897;0.76;0.160405527393931;0.25;18.15;0.55
Class;0.43548387096774194;0.9278350515463918;0.93;0.9639175257731959;0.9278350515463918;0.4534005037783375;0.2857142857142857;0.9278350515463918;0.9632419486019034;0.5275893435844943;89.36363636363636;0.9;0.9382888430983789;0.0;0.5274862709417402;0.8691588785046729;1157.142857142857;0.5882352941176471
Package;0.0;0.9;0.9;0.95;0.9;0.0;0.2;0.9;0.9486832980505139;0.0;89.0909090909091;0.9;0.9;0.0;0.0;0.8181818181818182;810.0;0.5
NamedElement;0.0;0.9;0.9;0.95;0.9;0.0;0.2;0.9;0.9486832980505139;0.0;89.0909090909091;0.9;0.9;0.0;0.0;0.8181818181818182;810.0;0.5
Property;0.0070921985815602835;0.4222222222222222;0.44;0.6634920634920635;0.9047619047619048;0.011990407673860911;0.029874213836477988;6.930406052682604E-4;0.6180700462007377;0.013507348307885131;37.63636363636363;0.38;0.4867078829867941;0.8323170731707317;0.1539733718500719;0.28205128205128205;25.785714285714285;0.5135135135135135
StrongReferences;0.09863945578231292;0.4222222222222222;0.47;0.6982905982905983;0.9743589743589743;0.17688319609637085;0.03588290840415486;0.002758578529700568;0.6414015991529889;0.198188988958643;37.90909090909091;0.38;0.5159518612510476;0.6942827798699076;0.23371035290345105;0.30718954248366015;27.245283018867923;0.8085106382978723
EXAM-BC;0.75;1.0;1.0;1.0;0.125;0.75;1.0;1.0;1.0;0.75;1.0;1.0;1.0;0.625;0.75;1.0;1.0;1.0
EXAM-WC;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
EXAM-AVG;0.875;1.0;1.0;1.0;0.125;0.875;1.0;1.0;1.0;0.875;1.0;1.0;1.0;0.8125;0.875;1.0;1.0;1.0

OCL9;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and not prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgWeakReference)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.0;0.0;0.1;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0
References;0.09863945578231292;0.4222222222222222;0.47;0.6982905982905983;0.9743589743589743;0.17688319609637085;0.03588290840415486;0.002758578529700568;0.6414015991529889;0.198188988958643;37.90909090909091;0.38;0.5159518612510476;0.6942827798699076;0.23371035290345105;0.30718954248366015;27.245283018867923;0.8085106382978723
Attributes;0.0196078431372549;0.36666666666666664;0.4;0.6416666666666666;0.9166666666666666;0.03745318352059925;0.028423772609819122;6.357011889188351E-4;0.5797509043642028;0.041666666666666664;32.72727272727273;0.33;0.4454646055136897;0.76;0.160405527393931;0.25;18.15;0.55
Class;0.43548387096774194;0.9278350515463918;0.93;0.9639175257731959;0.9278350515463918;0.4534005037783375;0.2857142857142857;0.9278350515463918;0.9632419486019034;0.5275893435844943;89.36363636363636;0.9;0.9382888430983789;0.0;0.5274862709417402;0.8691588785046729;1157.142857142857;0.5882352941176471
Package;0.0;0.9;0.9;0.95;0.9;0.0;0.2;0.9;0.9486832980505139;0.0;89.0909090909091;0.9;0.9;0.0;0.0;0.8181818181818182;810.0;0.5
NamedElement;0.0;0.9;0.9;0.95;0.9;0.0;0.2;0.9;0.9486832980505139;0.0;89.0909090909091;0.9;0.9;0.0;0.0;0.8181818181818182;810.0;0.5
Property;0.0070921985815602835;0.4222222222222222;0.44;0.6634920634920635;0.9047619047619048;0.011990407673860911;0.029874213836477988;6.930406052682604E-4;0.6180700462007377;0.013507348307885131;37.63636363636363;0.38;0.4867078829867941;0.8323170731707317;0.1539733718500719;0.28205128205128205;25.785714285714285;0.5135135135135135
StrongReferences;0.09863945578231292;0.4222222222222222;0.47;0.6982905982905983;0.9743589743589743;0.17688319609637085;0.03588290840415486;0.002758578529700568;0.6414015991529889;0.198188988958643;37.90909090909091;0.38;0.5159518612510476;0.6942827798699076;0.23371035290345105;0.30718954248366015;27.245283018867923;0.8085106382978723
EXAM-BC;0.75;1.0;1.0;1.0;0.125;0.75;1.0;1.0;1.0;0.75;1.0;1.0;1.0;0.625;0.75;1.0;1.0;1.0
EXAM-WC;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
EXAM-AVG;0.875;1.0;1.0;1.0;0.125;0.875;1.0;1.0;1.0;0.875;1.0;1.0;1.0;0.8125;0.875;1.0;1.0;1.0


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL3;0.75;1.0;1.0;1.0;0.125;0.75;1.0;1.0;1.0;0.75;1.0;1.0;1.0;0.625;0.75;1.0;1.0;1.0
OCL4;0.75;1.0;1.0;1.0;0.125;0.75;1.0;1.0;1.0;0.75;1.0;1.0;1.0;0.625;0.75;1.0;1.0;1.0
OCL7;0.75;1.0;1.0;1.0;0.125;0.75;1.0;1.0;1.0;0.75;1.0;1.0;1.0;0.625;0.75;1.0;1.0;1.0
OCL9;0.75;1.0;1.0;1.0;0.125;0.75;1.0;1.0;1.0;0.75;1.0;1.0;1.0;0.625;0.75;1.0;1.0;1.0

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL3;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
OCL4;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
OCL7;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
OCL9;1.0;1.0;1.0;1.0;0.125;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL3;0.875;1.0;1.0;1.0;0.125;0.875;1.0;1.0;1.0;0.875;1.0;1.0;1.0;0.8125;0.875;1.0;1.0;1.0
OCL4;0.875;1.0;1.0;1.0;0.125;0.875;1.0;1.0;1.0;0.875;1.0;1.0;1.0;0.8125;0.875;1.0;1.0;1.0
OCL7;0.875;1.0;1.0;1.0;0.125;0.875;1.0;1.0;1.0;0.875;1.0;1.0;1.0;0.8125;0.875;1.0;1.0;1.0
OCL9;0.875;1.0;1.0;1.0;0.125;0.875;1.0;1.0;1.0;0.875;1.0;1.0;1.0;0.8125;0.875;1.0;1.0;1.0
