;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncf: Number of failed test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ncs: Number of successful test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nus: number of successful test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nc: total number of test cases that cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nu:total number of test cases that do not cover the rule
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ns: total number of successful test cases
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nf: total number of failed test cases

OCL38;SrcEClassifier.allInstances()->select(c | not c.oclIsTypeOf(SrcEDataType))->forAll(ec| TrgRecTerm.allInstances()->one(rt | rt.op='package' and rt.type.name='@Package' and TrgConstant.allInstances()->one(c | Sequence{1..c.op.size()}->exists(i | Sequence{i..c.op.size()}->exists(j | c.op.substring(i,j)=ec.name and rt.args->includes(c) and TrgEquation.allInstances()->one(eq | eq.lhs=rt))))))

Rules;TC1;TC2;TC3;TC4;TC5;TC6;TC7;TC8;TC9;TC10;TC11;TC12;TC13;TC14;TC15;TC16;TC17;TC18;TC19;TC20;TC21;TC22;TC23;TC24;TC25;TC26;TC27;TC28;TC29;TC30;TC31;TC32;TC33;TC34;TC35;TC36;TC37;TC38;TC39;TC40;TC41;TC42;TC43;TC44;TC45;TC46;TC47;TC48;TC49;TC50;TC51;TC52;TC53;TC54;TC55;TC56;TC57;TC58;TC59;TC60;TC61;TC62;TC63;TC64;TC65;TC66;TC67;TC68;TC69;TC70;TC71;TC72;TC73;TC74;TC75;TC76;TC77;TC78;TC79;TC80;TC81;TC82;TC83;TC84;TC85;TC86;TC87;TC88;TC89;TC90;TC91;TC92;TC93;TC94;TC95;TC96;TC97;TC98;TC99;TC100;Ncf;Nuf;Ncs;Nus;Nc;Nu;Ns;Nf;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula;
EnumLiteral2Operation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;61.0;0.0;39.0;0.0;100.0;39.0;61.0;0.0;0.0;0.39;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2422360248447205;0.0;0.0;
Package2Operation;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;61.0;0.0;39.0;0.0;100.0;0.0;39.0;61.0;0.0;0.61;0.61;0.8049999999999999;0.61;0.0;0.05128205128205128;0.61;0.7810249675906655;0.0;60.025;0.61;0.61;0.0;0.0;0.43884892086330934;95.41025641025641;0.5;
ClassEqReferences;;;X;;;X;;X;;;X;;;X;;;;;;;;;;;X;;;;;;;;;X;X;X;;;;;;X;;X;;;X;X;X;;;;;;;;;;;X;;;X;X;;;;;;;;X;;X;;;;X;X;;X;;;;X;X;;;X;;;;X;;;X;;X;;X;29.0;32.0;0.0;39.0;29.0;71.0;39.0;61.0;0.41413401684364703;0.47540983606557374;0.68;0.7377049180327868;1.0;0.5096890491212258;0.0625;0.47540983606557374;0.6894996998299374;0.5110191915934904;29.0;0.29;0.6618420811317433;0.27102803738317754;0.5109961032808816;0.5151515151515151;26.28125;1.0;
EmptyList;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;61.0;0.0;39.0;0.0;100.0;0.0;39.0;61.0;0.0;0.61;0.61;0.8049999999999999;0.61;0.0;0.05128205128205128;0.61;0.7810249675906655;0.0;60.025;0.61;0.61;0.0;0.0;0.43884892086330934;95.41025641025641;0.5;
NamedElList;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;3.0;58.0;0.0;39.0;3.0;97.0;39.0;61.0;0.038780245276765;0.04918032786885246;0.42;0.5245901639344263;1.0;0.08764044943820225;0.034482758620689655;0.04918032786885246;0.22176638128637186;0.14061839810428403;3.0;0.03;0.19238788066890514;0.037037037037037035;0.1406014996789371;0.26582278481012656;0.15517241379310345;1.0;
Attribute2Operation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;3.0;58.0;0.0;39.0;3.0;97.0;39.0;61.0;0.038780245276765;0.04918032786885246;0.42;0.5245901639344263;1.0;0.08764044943820225;0.034482758620689655;0.04918032786885246;0.22176638128637186;0.14061839810428403;3.0;0.03;0.19238788066890514;0.037037037037037035;0.1406014996789371;0.26582278481012656;0.15517241379310345;1.0;
NamedElConstant;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;61.0;0.0;39.0;0.0;100.0;0.0;39.0;61.0;0.0;0.61;0.61;0.8049999999999999;0.61;0.0;0.05128205128205128;0.61;0.7810249675906655;0.0;60.025;0.61;0.61;0.0;0.0;0.43884892086330934;95.41025641025641;0.5;
EnumEqMetaAux;X;;;;X;;;;X;;;X;;;;X;X;;X;X;X;;;;;;;;;;;;X;;;;;X;;X;X;;X;X;X;X;;;;;X;X;X;X;X;;X;;;;X;;;X;;;X;;X;;X;;;;;X;X;;;;;;X;X;;;;;;;;;;;X;;X;X;;;35.0;26.0;0.0;39.0;35.0;65.0;39.0;61.0;0.5121951219512195;0.5737704918032787;0.74;0.7868852459016393;1.0;0.5865921787709497;0.07692307692307693;0.5737704918032787;0.7574763968621588;0.5867386940384682;35.0;0.35;0.7345473542017744;0.30973451327433627;0.5867134744415621;0.5873015873015873;47.11538461538461;1.0;
Class2Sort;;;X;;;X;;X;;;X;;;X;;;;;;;;;;;X;;;;;;;;;X;X;X;;;;;;X;;X;;;X;X;X;;;;;;;;;;;X;;;X;X;;;;;;;;X;;X;;;;X;X;;X;;;;X;X;;;X;;;;X;;;X;;X;;X;29.0;32.0;0.0;39.0;29.0;71.0;39.0;61.0;0.41413401684364703;0.47540983606557374;0.68;0.7377049180327868;1.0;0.5096890491212258;0.0625;0.47540983606557374;0.6894996998299374;0.5110191915934904;29.0;0.29;0.6618420811317433;0.27102803738317754;0.5109961032808816;0.5151515151515151;26.28125;1.0;
createSort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;61.0;0.0;39.0;0.0;100.0;39.0;61.0;0.0;0.0;0.39;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2422360248447205;0.0;0.0;
ClassEqAttributes;;;X;;;X;;X;;;X;;;X;;;;;;;;;;;X;;;;;;;;;X;X;X;;;;;;X;;X;;;X;X;X;;;;;;;;;;;X;;;X;X;;;;;;;;X;;X;;;;X;X;;X;;;;X;X;;;X;;;;X;;;X;;X;;X;29.0;32.0;0.0;39.0;29.0;71.0;39.0;61.0;0.41413401684364703;0.47540983606557374;0.68;0.7377049180327868;1.0;0.5096890491212258;0.0625;0.47540983606557374;0.6894996998299374;0.5110191915934904;29.0;0.29;0.6618420811317433;0.27102803738317754;0.5109961032808816;0.5151515151515151;26.28125;1.0;
EqIsUnique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;3.0;58.0;0.0;39.0;3.0;97.0;39.0;61.0;0.038780245276765;0.04918032786885246;0.42;0.5245901639344263;1.0;0.08764044943820225;0.034482758620689655;0.04918032786885246;0.22176638128637186;0.14061839810428403;3.0;0.03;0.19238788066890514;0.037037037037037035;0.1406014996789371;0.26582278481012656;0.15517241379310345;1.0;
EqName;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;61.0;0.0;39.0;0.0;100.0;0.0;39.0;61.0;0.0;0.61;0.61;0.8049999999999999;0.61;0.0;0.05128205128205128;0.61;0.7810249675906655;0.0;60.025;0.61;0.61;0.0;0.0;0.43884892086330934;95.41025641025641;0.5;
MetamodelEqName;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;61.0;0.0;39.0;0.0;100.0;0.0;39.0;61.0;0.0;0.61;0.61;0.8049999999999999;0.61;0.0;0.05128205128205128;0.61;0.7810249675906655;0.0;60.025;0.61;0.61;0.0;0.0;0.43884892086330934;95.41025641025641;0.5;
EqPackage;X;;X;;X;X;;X;X;;X;X;;X;;X;X;;X;X;X;;;;X;;;;;;;;X;X;X;X;;X;;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;;X;;;X;X;;X;X;;;X;;X;;X;X;;X;;X;X;X;X;;X;;X;X;X;X;;;X;;;;X;;X;X;X;X;;X;61.0;0.0;0.0;39.0;61.0;39.0;39.0;61.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;61.0;0.61;1.0;0.0;0.9999579672985583;1.0;1.0;1.0;
EqLiterals;X;;;;X;;;;X;;;X;;;;X;X;;X;X;X;;;;;;;;;;;;X;;;;;X;;X;X;;X;X;X;X;;;;;X;X;X;X;X;;X;;;;X;;;X;;;X;;X;;X;;;;;X;X;;;;;;X;X;;;;;;;;;;;X;;X;X;;;35.0;26.0;0.0;39.0;35.0;65.0;39.0;61.0;0.5121951219512195;0.5737704918032787;0.74;0.7868852459016393;1.0;0.5865921787709497;0.07692307692307693;0.5737704918032787;0.7574763968621588;0.5867386940384682;35.0;0.35;0.7345473542017744;0.30973451327433627;0.5867134744415621;0.5873015873015873;47.11538461538461;1.0;
PackEqSubPackages;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;61.0;0.0;39.0;0.0;100.0;0.0;39.0;61.0;0.0;0.61;0.61;0.8049999999999999;0.61;0.0;0.05128205128205128;0.61;0.7810249675906655;0.0;60.025;0.61;0.61;0.0;0.0;0.43884892086330934;95.41025641025641;0.5;
PackEqSupPackage;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;61.0;0.0;39.0;0.0;100.0;0.0;39.0;61.0;0.0;0.61;0.61;0.8049999999999999;0.61;0.0;0.05128205128205128;0.61;0.7810249675906655;0.0;60.025;0.61;0.61;0.0;0.0;0.43884892086330934;95.41025641025641;0.5;
PackEqMetamodel;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;61.0;0.0;39.0;0.0;100.0;0.0;39.0;61.0;0.0;0.61;0.61;0.8049999999999999;0.61;0.0;0.05128205128205128;0.61;0.7810249675906655;0.0;60.025;0.61;0.61;0.0;0.0;0.43884892086330934;95.41025641025641;0.5;
Reference2Operation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;2.0;59.0;0.0;39.0;2.0;98.0;39.0;61.0;0.025759577278731835;0.03278688524590164;0.41;0.5163934426229508;1.0;0.060582524271844664;0.03389830508474576;0.03278688524590164;0.18107149208503706;0.11422715127173019;2.0;0.02;0.1551122402177719;0.025;0.11421042571842846;0.2578616352201258;0.06779661016949153;1.0;
EqContainingClass;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;3.0;58.0;0.0;39.0;3.0;97.0;39.0;61.0;0.038780245276765;0.04918032786885246;0.42;0.5245901639344263;1.0;0.08764044943820225;0.034482758620689655;0.04918032786885246;0.22176638128637186;0.14061839810428403;3.0;0.03;0.19238788066890514;0.037037037037037035;0.1406014996789371;0.26582278481012656;0.15517241379310345;1.0;
mtOrdConstant;X;;;;X;;;;X;;;X;;;;X;X;;X;X;X;;;;;;;;;;;;X;;;;;X;;X;X;;X;X;X;X;;;;;X;X;X;X;X;;X;;;;X;;;X;;;X;;X;;X;;;;;X;X;;;;;;X;X;;;;;;;;;;;X;;X;X;;;35.0;26.0;0.0;39.0;35.0;65.0;39.0;61.0;0.5121951219512195;0.5737704918032787;0.74;0.7868852459016393;1.0;0.5865921787709497;0.07692307692307693;0.5737704918032787;0.7574763968621588;0.5867386940384682;35.0;0.35;0.7345473542017744;0.30973451327433627;0.5867134744415621;0.5873015873015873;47.11538461538461;1.0;
PackEqClasses;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;61.0;0.0;39.0;0.0;100.0;0.0;39.0;61.0;0.0;0.61;0.61;0.8049999999999999;0.61;0.0;0.05128205128205128;0.61;0.7810249675906655;0.0;60.025;0.61;0.61;0.0;0.0;0.43884892086330934;95.41025641025641;0.5;
ClassEqIsAbstract;;;X;;;X;;X;;;X;;;X;;;;;;;;;;;X;;;;;;;;;X;X;X;;;;;;X;;X;;;X;X;X;;;;;;;;;;;X;;;X;X;;;;;;;;X;;X;;;;X;X;;X;;;;X;X;;;X;;;;X;;;X;;X;;X;29.0;32.0;0.0;39.0;29.0;71.0;39.0;61.0;0.41413401684364703;0.47540983606557374;0.68;0.7377049180327868;1.0;0.5096890491212258;0.0625;0.47540983606557374;0.6894996998299374;0.5110191915934904;29.0;0.29;0.6618420811317433;0.27102803738317754;0.5109961032808816;0.5151515151515151;26.28125;1.0;
EqUpperBound;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;3.0;58.0;0.0;39.0;3.0;97.0;39.0;61.0;0.038780245276765;0.04918032786885246;0.42;0.5245901639344263;1.0;0.08764044943820225;0.034482758620689655;0.04918032786885246;0.22176638128637186;0.14061839810428403;3.0;0.03;0.19238788066890514;0.037037037037037035;0.1406014996789371;0.26582278481012656;0.15517241379310345;1.0;
