In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL2;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.43548387096774194;0.9278350515463918;0.93;0.9639175257731959;1.0;0.4534005037783375;0.2857142857142857;0.9278350515463918;0.9632419486019034;0.5275893435844943;90.0;0.9;0.9382888430983789;0.9375;0.5274862709417402;0.8691588785046729;1157.142857142857;1.0
References;0.47643979057591623;0.9381443298969072;0.94;0.9690721649484536;1.0;0.4918918918918919;0.3333333333333333;0.9381443298969072;0.9685785099293228;0.5592090634389811;91.0;0.91;0.9471471398698719;0.9381443298969072;0.5590945393606918;0.8867924528301887;1380.1666666666667;1.0
Attributes;0.034198860037998734;0.3711340206185567;0.39;0.6855670103092784;1.0;0.08323699421965318;0.03278688524590164;0.3711340206185567;0.6092076990801714;0.13189733589612357;36.0;0.36;0.431989097470187;0.8571428571428571;0.1318812296157152;0.2422360248447205;21.24590163934426;1.0
Class;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;97.0;0.97;1.0;0.0;0.9996564754379937;1.0;1.0;1.0
Package;0.0;0.97;0.97;0.985;0.97;0.0;0.6666666666666666;0.97;0.9848857801796105;0.0;96.25;0.97;0.97;0.0;0.0;0.941747572815534;3136.3333333333335;0.5
NamedElement;0.0;0.97;0.97;0.985;0.97;0.0;0.6666666666666666;0.97;0.9848857801796105;0.0;96.25;0.97;0.97;0.0;0.0;0.941747572815534;3136.3333333333335;0.5
Property;0.6527777777777778;0.9690721649484536;0.97;0.9845360824742269;1.0;0.6596491228070176;0.6666666666666666;0.9690721649484536;0.9844146306046317;0.6960862607997853;94.0;0.94;0.9736363062201424;0.94;0.6959144818956934;0.941747572815534;2945.3333333333335;1.0
StrongReferences;0.038780245276765;0.4020618556701031;0.42;0.7010309278350515;1.0;0.08764044943820225;0.034482758620689655;0.4020618556701031;0.6340834768940941;0.14061839810428403;39.0;0.39;0.4620497117876382;0.8666666666666667;0.1406014996789371;0.26582278481012656;26.224137931034484;1.0
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125
EXAM-WC;0.125;0.125;0.125;0.125;0.75;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.125;0.125;0.375;0.75
EXAM-AVG;0.125;0.125;0.125;0.125;0.4375;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.375;0.4375

OCL9;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and not prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgWeakReference)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.43548387096774194;0.9278350515463918;0.93;0.9639175257731959;1.0;0.4534005037783375;0.2857142857142857;0.9278350515463918;0.9632419486019034;0.5275893435844943;90.0;0.9;0.9382888430983789;0.9375;0.5274862709417402;0.8691588785046729;1157.142857142857;1.0
References;0.47643979057591623;0.9381443298969072;0.94;0.9690721649484536;1.0;0.4918918918918919;0.3333333333333333;0.9381443298969072;0.9685785099293228;0.5592090634389811;91.0;0.91;0.9471471398698719;0.9381443298969072;0.5590945393606918;0.8867924528301887;1380.1666666666667;1.0
Attributes;0.034198860037998734;0.3711340206185567;0.39;0.6855670103092784;1.0;0.08323699421965318;0.03278688524590164;0.3711340206185567;0.6092076990801714;0.13189733589612357;36.0;0.36;0.431989097470187;0.8571428571428571;0.1318812296157152;0.2422360248447205;21.24590163934426;1.0
Class;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;97.0;0.97;1.0;0.0;0.9996564754379937;1.0;1.0;1.0
Package;0.0;0.97;0.97;0.985;0.97;0.0;0.6666666666666666;0.97;0.9848857801796105;0.0;96.25;0.97;0.97;0.0;0.0;0.941747572815534;3136.3333333333335;0.5
NamedElement;0.0;0.97;0.97;0.985;0.97;0.0;0.6666666666666666;0.97;0.9848857801796105;0.0;96.25;0.97;0.97;0.0;0.0;0.941747572815534;3136.3333333333335;0.5
Property;0.6527777777777778;0.9690721649484536;0.97;0.9845360824742269;1.0;0.6596491228070176;0.6666666666666666;0.9690721649484536;0.9844146306046317;0.6960862607997853;94.0;0.94;0.9736363062201424;0.94;0.6959144818956934;0.941747572815534;2945.3333333333335;1.0
StrongReferences;0.038780245276765;0.4020618556701031;0.42;0.7010309278350515;1.0;0.08764044943820225;0.034482758620689655;0.4020618556701031;0.6340834768940941;0.14061839810428403;39.0;0.39;0.4620497117876382;0.8666666666666667;0.1406014996789371;0.26582278481012656;26.224137931034484;1.0
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125
EXAM-WC;0.125;0.125;0.125;0.125;0.75;0.125;0.125;0.125;0.125;0.125;0.125;0.375;0.125;0.125;0.125;0.125;0.375;0.75
EXAM-AVG;0.125;0.125;0.125;0.125;0.4375;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.375;0.4375

OCL10;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgStrongReference)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.43548387096774194;0.9278350515463918;0.93;0.9639175257731959;1.0;0.4534005037783375;0.2857142857142857;0.9278350515463918;0.9632419486019034;0.5275893435844943;90.0;0.9;0.9382888430983789;0.9375;0.5274862709417402;0.8691588785046729;1157.142857142857;1.0
References;0.47643979057591623;0.9381443298969072;0.94;0.9690721649484536;1.0;0.4918918918918919;0.3333333333333333;0.9381443298969072;0.9685785099293228;0.5592090634389811;91.0;0.91;0.9471471398698719;0.9381443298969072;0.5590945393606918;0.8867924528301887;1380.1666666666667;1.0
