In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL9;SrcPackage.allInstances()->forAll(p | TrgERModel.allInstances()->exists(e | p.name = e.name and p.ownedElements->forAll(class | e.entities->exists(entity | entity.name = class.name and class.ownedProperty->forAll(prop | (not prop.complexType.oclIsUndefined() and not prop.isContainment) implies entity.features-> select(f|f.oclIsTypeOf(TrgWeakReference)) -> exists(f | f.name = prop.name))))))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
WeakReferences;0.09863945578231292;0.4222222222222222;0.47;0.6982905982905983;0.9743589743589743;0.17688319609637085;0.03588290840415486;0.002758578529700568;0.6414015991529889;0.198188988958643;37.90909090909091;0.38;0.5159518612510476;0.6942827798699076;0.23371035290345105;0.30718954248366015;27.245283018867923;0.8085106382978723
References;0.9418604651162791;0.989010989010989;0.99;0.9945054945054945;0.989010989010989;0.9424083769633508;2.0;0.989010989010989;0.9944903161976939;0.9434563530497264;89.9090909090909;0.9;0.9916290321163854;0.0;0.9433464757379163;0.9801980198019802;8100.0;0.9090909090909091
Attributes;0.0196078431372549;0.36666666666666664;0.4;0.6416666666666666;0.9166666666666666;0.03745318352059925;0.028423772609819122;6.357011889188351E-4;0.5797509043642028;0.041666666666666664;32.72727272727273;0.33;0.4454646055136897;0.76;0.160405527393931;0.25;18.15;0.55
Class;0.43548387096774194;0.9278350515463918;0.93;0.9639175257731959;0.9278350515463918;0.4534005037783375;0.2857142857142857;0.9278350515463918;0.9632419486019034;0.5275893435844943;89.36363636363636;0.9;0.9382888430983789;0.0;0.5274862709417402;0.8691588785046729;1157.142857142857;0.5882352941176471
Package;0.0;0.9;0.9;0.95;0.9;0.0;0.2;0.9;0.9486832980505139;0.0;89.0909090909091;0.9;0.9;0.0;0.0;0.8181818181818182;810.0;0.5
NamedElement;0.0;0.9;0.9;0.95;0.9;0.0;0.2;0.9;0.9486832980505139;0.0;89.0909090909091;0.9;0.9;0.0;0.0;0.8181818181818182;810.0;0.5
Property;0.7297297297297297;0.9574468085106383;0.96;0.9787234042553192;0.9574468085106383;0.7377049180327869;0.5;0.9574468085106383;0.9784921095801633;0.7579367289598671;89.63636363636364;0.9;0.9658813404422587;0.0;0.7578303609108198;0.9230769230769231;2025.0;0.7142857142857143
StrongReferences;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;90.0;0.9;1.0;0.0;0.9998889012331963;1.0;1.0;1.0
EXAM-BC;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.125;0.125;0.125;0.125;0.25;0.125;0.125;0.75;0.125
